Latitude,Longitude,축종,발생두수,ID,종,카운트
36.7403856,129.1983249,벌-재래종,7,6441,아까시나무,1
36.7181091,129.2462741,벌-재래종,3,5512,상수리나무,1
38.1453645,128.1335981,벌-재래종,4,730,개다래,1
36.4785066,129.1679121,벌-재래종,107,2536,다래,1
36.8167104,129.2501549,벌-재래종,2,596,개다래,1
38.0087006,128.1617215,벌-재래종,4,6131,신갈나무,1
36.8144001,128.1482474,벌-재래종,18,8909,피마자,1
37.4472938,127.6700914,벌-재래종,6,7070,애기똥풀,1
37.8560252,127.8469846,벌-재래종,26,706,개다래,1
37.6255406,127.93141,벌-재래종,1,4321,붉나무,1
37.017043,128.8162766,벌-재래종,2,951,개옻나무,1
36.2954995,128.7889909,벌-재래종,3,181,갈참나무,1
37.4439367,127.6250917,벌-재래종,2,1103,개옻나무,1
37.4472938,127.6700914,벌-재래종,4,7070,애기똥풀,1
36.4785066,129.1679121,벌-재래종,107,2536,다래,1
37.5710458,127.6416006,벌-재래종,7,2299,굴참나무,3
38.0087006,128.1617215,벌-재래종,1,6131,신갈나무,1
37.7264197,127.9160954,벌-재래종,1,3659,밤나무,2
36.2945638,129.0464878,벌-재래종,9,7544,족제비싸리,1
37.6170662,127.4871263,벌-재래종,1,1438,고욤나무,1
37.017043,128.8162766,벌-재래종,2,951,개옻나무,1
36.7877626,129.2030091,벌-재래종,4,596,개다래,1
35.1986439,127.4529926,벌-재래종,106,7459,족제비싸리,1
37.497971,127.5050639,벌-재래종,9,3739,벼,1
37.4615935,128.153439,벌-재래종,1,6584,아까시나무,2
36.9786453,128.85124,벌-재래종,60,1705,광대싸리,1
36.3321473,128.8067483,벌-재래종,1,2535,다래,1
36.5095472,129.0923238,벌-재래종,8,2536,다래,1
37.0060873,128.9653695,벌-재래종,6,1707,광대싸리,1
36.2891333,128.8180761,벌-재래종,2,494,감나무,1
37.8303719,127.8955118,벌-재래종,1,682,개다래,4
37.9429407,127.4806675,벌-재래종,7,1886,광대싸리,1
37.4250014,128.2967109,벌-재래종,1,652,개다래,1
36.7551344,128.1698493,벌-재래종,1,2547,다래,1
36.4571359,129.3230741,벌-재래종,195,1669,광대싸리,1
36.4571359,129.3230741,벌-재래종,127,1669,광대싸리,1
37.5290575,127.8523294,벌-재래종,1,7070,애기똥풀,1
37.2458153,128.045615,벌-재래종,1,3561,밤나무,1
36.6496554,128.7873596,벌-재래종,4,3440,밤나무,1
38.0412339,127.0393313,벌-재래종,1,6114,신갈나무,1
36.0053204,129.0451342,벌-재래종,6,835,개옻나무,1
37.4615935,128.153439,벌-재래종,2,6584,아까시나무,2
37.4615935,128.153439,벌-재래종,2,6584,아까시나무,2
36.2945638,129.0464878,벌-재래종,2,7544,족제비싸리,1
37.8140141,128.1452309,벌-재래종,7,1167,개옻나무,1
36.3321473,128.8067483,벌-재래종,2,2535,다래,1
37.9429407,127.4806675,벌-재래종,2,1886,광대싸리,1
38.0019958,128.6187189,벌-재래종,1,2332,굴참나무,1
37.2458153,128.045615,벌-재래종,1,3561,밤나무,1
37.348768,128.1604644,벌-재래종,2,5175,산초나무,1
37.017043,128.8162766,벌-재래종,6,951,개옻나무,1
36.6932767,128.7045904,벌-재래종,4,3440,밤나무,1
35.61436,127.2851097,벌-재래종,30,100,갈참나무,1
36.6190338,127.5915186,벌-재래종,5,2951,떡갈나무,1
37.017043,128.8162766,벌-재래종,2,951,개옻나무,1
