Latitude,Longitude,축종,발생두수,ID,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10,nearby_11,nearby_12,nearby_13,nearby_14,nearby_15,nearby_16,nearby_17,nearby_18,nearby_19,nearby_20,nearby_21,nearby_22,nearby_23,nearby_24,nearby_25,nearby_26,nearby_27,nearby_28,nearby_29,nearby_30,nearby_31,nearby_32,nearby_33,nearby_34,nearby_35,nearby_36,nearby_37,nearby_38,nearby_39,nearby_40,nearby_41,nearby_42,nearby_43,nearby_44,nearby_45,nearby_46,nearby_47,nearby_48,nearby_49,nearby_50,nearby_51,nearby_52,nearby_53,nearby_54,nearby_55,nearby_56,nearby_57,nearby_58,nearby_59,nearby_60,nearby_61,nearby_62,nearby_63,nearby_64,nearby_65,nearby_66,nearby_67,nearby_68,nearby_69,nearby_70,nearby_71,nearby_72,nearby_73,nearby_74,nearby_75,nearby_76,nearby_77,nearby_78,nearby_79,nearby_80,nearby_81,nearby_82,nearby_83,nearby_84,nearby_85,nearby_86,nearby_87,nearby_88,nearby_89,nearby_90,nearby_91,nearby_92,nearby_93,nearby_94,nearby_95,nearby_96,nearby_97,nearby_98,nearby_99,nearby_100,nearby_101,nearby_102,nearby_103,nearby_104,nearby_105,nearby_106,nearby_107,nearby_108,nearby_109,nearby_110,nearby_111,nearby_112,nearby_113,nearby_114,nearby_115,nearby_116,nearby_117,nearby_118,nearby_119,nearby_120,nearby_121,nearby_122,nearby_123,nearby_124,nearby_125,nearby_126,nearby_127,nearby_128,nearby_129,nearby_130,nearby_131,nearby_132,nearby_133,nearby_134,nearby_135,nearby_136,nearby_137,nearby_138,nearby_139,nearby_140,nearby_141,nearby_142,nearby_143,nearby_144,nearby_145,nearby_146,nearby_147,nearby_148,nearby_149,nearby_150,nearby_151,nearby_152,nearby_153,nearby_154,nearby_155,nearby_156,nearby_157,nearby_158,nearby_159,nearby_160,nearby_161,nearby_162,nearby_163,nearby_164,nearby_165,nearby_166,nearby_167,nearby_168,nearby_169,nearby_170,nearby_171,nearby_172,nearby_173,nearby_174,nearby_175,nearby_176,nearby_177,nearby_178,nearby_179,nearby_180,nearby_181,nearby_182,nearby_183,nearby_184,nearby_185,nearby_186,nearby_187,nearby_188,nearby_189,nearby_190,nearby_191,nearby_192,nearby_193,nearby_194,nearby_195,nearby_196,nearby_197,nearby_198,nearby_199,nearby_200,nearby_201,nearby_202,nearby_203,nearby_204,nearby_205,nearby_206,nearby_207,nearby_208,nearby_209,nearby_210,nearby_211,nearby_212,nearby_213,nearby_214,nearby_215,nearby_216,nearby_217,nearby_218,nearby_219,nearby_220,nearby_221,nearby_222,nearby_223,nearby_224,nearby_225,nearby_226,nearby_227,nearby_228,nearby_229,nearby_230,nearby_231,nearby_232,nearby_233,nearby_234,nearby_235,nearby_236,nearby_237,nearby_238,nearby_239,nearby_240,nearby_241,nearby_242,nearby_243,nearby_244,nearby_245,nearby_246,nearby_247,nearby_248,nearby_249,nearby_250,nearby_251,nearby_252,nearby_253,nearby_254,nearby_255,nearby_256,nearby_257,nearby_258,nearby_259,nearby_260,nearby_261,nearby_262,nearby_263,nearby_264,nearby_265,nearby_266,nearby_267,nearby_268,nearby_269,nearby_270,nearby_271,nearby_272,nearby_273,nearby_274,nearby_275,nearby_276,nearby_277,nearby_278,nearby_279,nearby_280,nearby_281,nearby_282,nearby_283,nearby_284,nearby_285,nearby_286,nearby_287,nearby_288,nearby_289,nearby_290,nearby_291,nearby_292,nearby_293,nearby_294,nearby_295,nearby_296,nearby_297,nearby_298,nearby_299,nearby_300,nearby_301,nearby_302,nearby_303,nearby_304,nearby_305,nearby_306,nearby_307,nearby_308,nearby_309,nearby_310,nearby_311,nearby_312,nearby_313,nearby_314,nearby_315,nearby_316,nearby_317,nearby_318,nearby_319,nearby_320,nearby_321,nearby_322,nearby_323,nearby_324,nearby_325,nearby_326,nearby_327,nearby_328,nearby_329,nearby_330,nearby_331,nearby_332,nearby_333,nearby_334,nearby_335,nearby_336,nearby_337,nearby_338,nearby_339,nearby_340,nearby_341,nearby_342,nearby_343,nearby_344,nearby_345,nearby_346,nearby_347,nearby_348,nearby_349,nearby_350,nearby_351,nearby_352,nearby_353,nearby_354,nearby_355,nearby_356,nearby_357,nearby_358,nearby_359,nearby_360,nearby_361,nearby_362,nearby_363,nearby_364,nearby_365,nearby_366,nearby_367,nearby_368,nearby_369,nearby_370,nearby_371,nearby_372,nearby_373,nearby_374,nearby_375,nearby_376,nearby_377,nearby_378,nearby_379,nearby_380,nearby_381,nearby_382,nearby_383,nearby_384,nearby_385,nearby_386,nearby_387,nearby_388,nearby_389,nearby_390,nearby_391,nearby_392,nearby_393,nearby_394,nearby_395,nearby_396,nearby_397,nearby_398,nearby_399,nearby_400,nearby_401,nearby_402,nearby_403,nearby_404,nearby_405,nearby_406,nearby_407,nearby_408,nearby_409,nearby_410,nearby_411,nearby_412,nearby_413,nearby_414,nearby_415,nearby_416
36.7403856,129.1983249,벌-재래종,7,6441,1669.0,4943.0,1354.0,5799.0,8845.0,915.0,2540.0,5800.0,8031.0,924.0,1682.0,1683.0,3453.0,923.0,4092.0,922.0,3458.0,8049.0,2541.0,3460.0,3443.0,4974.0,6901.0,8047.0,8030.0,1672.0,7332.0,5812.0,7565.0,2974.0,4969.0,6441.0,597.0,596.0,595.0,2550.0,2549.0,589.0,2136.0,6444.0,590.0,5811.0,6445.0,5512.0,4107.0,4106.0,7569.0,4945.0,6916.0,8856.0,1359.0,228.0,1361.0,2147.0,2148.0,6431.0,1681.0,3463.0,4110.0,8051.0,7570.0,6917.0,5816.0,4975.0,1363.0,7571.0,8857.0,2556.0,7585.0,8863.0,934.0,1695.0,4126.0,6461.0,8065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.7181091,129.2462741,벌-재래종,3,5512,222.0,2960.0,5505.0,2135.0,4088.0,4942.0,913.0,4089.0,1669.0,4943.0,8844.0,1354.0,5799.0,8845.0,915.0,2540.0,5800.0,8031.0,924.0,1682.0,1683.0,3453.0,923.0,4092.0,922.0,3458.0,8049.0,2541.0,3460.0,3443.0,4974.0,6901.0,8047.0,8030.0,1672.0,7332.0,5812.0,7565.0,2974.0,4969.0,6441.0,597.0,596.0,595.0,2550.0,2549.0,589.0,2136.0,6444.0,590.0,5811.0,6445.0,5512.0,4107.0,4106.0,7569.0,4945.0,6916.0,8856.0,1359.0,228.0,1361.0,2147.0,2148.0,6431.0,1681.0,3463.0,4110.0,8051.0,7570.0,6917.0,5816.0,4975.0,1363.0,7571.0,8857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1453645,128.1335981,벌-재래종,4,730,1201.0,3723.0,2346.0,6697.0,8254.0,3162.0,430.0,433.0,7736.0,3718.0,5321.0,6144.0,4439.0,1195.0,5628.0,3716.0,729.0,6131.0,7733.0,730.0,4447.0,2748.0,6141.0,1913.0,2749.0,3163.0,3160.0,3161.0,5319.0,6146.0,8584.0,2336.0,1191.0,6151.0,5627.0,2341.0,7730.0,5314.0,1922.0,7227.0,7220.0,2735.0,2345.0,429.0,539.0,1920.0,7216.0,8250.0,8624.0,8623.0,6690.0,8585.0,6688.0,2745.0,726.0,4446.0,728.0,8249.0,723.0,4435.0,8621.0,7214.0,7215.0,3715.0,2337.0,6132.0,1192.0,1915.0,6134.0,6694.0,7222.0,2740.0,7221.0,6698.0,7734.0,6696.0,1202.0,1204.0,8622.0,3720.0,1200.0,6699.0,6138.0,6147.0,7732.0,2738.0,7231.0,4442.0,7228.0,2741.0,3725.0,2743.0,1924.0,724.0,4443.0,7233.0,4448.0,7229.0,7737.0,2752.0,6693.0,2347.0,2750.0,2753.0,7234.0,8256.0,2754.0,4451.0,1926.0,3726.0,6149.0,8257.0,7235.0,1205.0,2755.0,4452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.4785066,129.1679121,벌-재래종,107,2536,7558.0,3434.0,1662.0,5499.0,189.0,2130.0,8460.0,2536.0,6896.0,1351.0,908.0,4931.0,5798.0,8022.0,2954.0,213.0,4081.0,6423.0,915.0,2540.0,5800.0,8031.0,6901.0,7332.0,2136.0,590.0,4945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.8167104,129.2501549,벌-재래종,2,596,8031.0,924.0,1682.0,1683.0,3453.0,923.0,4092.0,922.0,3458.0,8049.0,3460.0,4974.0,8047.0,1672.0,7332.0,5812.0,7565.0,2974.0,4969.0,6441.0,597.0,596.0,595.0,2550.0,2549.0,2136.0,6444.0,590.0,5811.0,6445.0,5512.0,4107.0,4106.0,7569.0,6916.0,8856.0,1359.0,228.0,1361.0,2147.0,2148.0,1681.0,3463.0,4110.0,8051.0,7570.0,6917.0,5816.0,4975.0,601.0,1363.0,1370.0,7571.0,8857.0,2556.0,7585.0,8863.0,934.0,1695.0,4126.0,6461.0,8065.0,4131.0,3476.0,8071.0,5524.0,2162.0,1369.0,1699.0,7334.0,5827.0,7588.0,8865.0,7594.0,8486.0,939.0,8868.0,3003.0,2164.0,5003.0,605.0,2560.0,940.0,8073.0,937.0,8867.0,3479.0,602.0,5526.0,7592.0,6928.0,931.0,8861.0,4120.0,1372.0,2152.0,245.0,598.0,8062.0,242.0,599.0,2994.0,7581.0,3472.0,8938.0,1367.0,8862.0,6939.0,6455.0,8475.0,7575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0087006,128.1617215,벌-재래종,4,6131,5281.0,3686.0,699.0,7172.0,4390.0,5618.0,3684.0,1866.0,4388.0,1171.0,7174.0,4387.0,6094.0,2322.0,1865.0,6093.0,410.0,3685.0,2701.0,430.0,3718.0,4439.0,1195.0,5628.0,3716.0,729.0,6131.0,7733.0,730.0,4447.0,2748.0,7727.0,6141.0,1913.0,2749.0,3163.0,3160.0,3161.0,5319.0,1903.0,8584.0,2336.0,5303.0,1191.0,5627.0,2341.0,7730.0,5314.0,1922.0,7227.0,6673.0,7220.0,2735.0,2345.0,429.0,539.0,1920.0,7216.0,8250.0,8623.0,6690.0,8585.0,6657.0,8237.0,6688.0,2702.0,2745.0,726.0,4446.0,728.0,8249.0,1868.0,723.0,4435.0,8621.0,7214.0,7215.0,3715.0,2337.0,6132.0,1192.0,1915.0,6134.0,6694.0,7222.0,2740.0,7221.0,7734.0,6696.0,8622.0,3720.0,1200.0,6138.0,7732.0,2738.0,4442.0,7228.0,2741.0,2743.0,724.0,4443.0,6693.0,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.8144001,128.1482474,벌-재래종,18,8909,1355.0,4947.0,1671.0,594.0,5507.0,7267.0,2137.0,8853.0,2542.0,2363.0,4091.0,518.0,916.0,4601.0,6903.0,223.0,5801.0,8909.0,6432.0,225.0,4095.0,4946.0,2138.0,7564.0,5508.0,1357.0,4602.0,3442.0,1674.0,8036.0,6433.0,8851.0,5805.0,2547.0,2364.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4472938,127.6700914,벌-재래종,6,7070,8537.0,1450.0,3739.0,7090.0,7034.0,4246.0,8520.0,5143.0,8165.0,8163.0,2240.0,3083.0,2243.0,5573.0,3084.0,4242.0,4245.0,1776.0,5951.0,6554.0,8522.0,3575.0,330.0,5954.0,6559.0,3573.0,1062.0,7039.0,1089.0,8531.0,6562.0,5147.0,6577.0,5171.0,4267.0,5986.0,3609.0,1793.0,8182.0,1103.0,1067.0,7070.0,2622.0,334.0,2261.0,5182.0,3600.0,4282.0,6587.0,2273.0,3101.0,5588.0,7076.0,8189.0,7038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8560252,127.8469846,벌-재래종,26,706,412.0,1867.0,3687.0,7721.0,5282.0,4391.0,5280.0,4380.0,5283.0,2700.0,701.0,7175.0,6655.0,696.0,3659.0,5244.0,681.0,1840.0,7136.0,397.0,3138.0,5248.0,398.0,1844.0,682.0,4351.0,5250.0,1881.0,4398.0,6102.0,708.0,709.0,5621.0,3691.0,1883.0,417.0,7184.0,7183.0,416.0,4402.0,2708.0,2709.0,3693.0,4403.0,5289.0,3154.0,7187.0,3695.0,6663.0,419.0,5293.0,711.0,7194.0,3702.0,3703.0,1889.0,421.0,6667.0,6666.0,710.0,7196.0,7198.0,8572.0,8569.0,4410.0,7195.0,8573.0,1888.0,1890.0,6669.0,3699.0,6668.0,7199.0,4409.0,6665.0,6664.0,7197.0,3700.0,4407.0,7190.0,3704.0,3705.0,1891.0,8571.0,7724.0,3697.0,7178.0,1892.0,1893.0,712.0,8570.0,1894.0,8242.0,422.0,2715.0,7191.0,4411.0,4412.0,3701.0,4408.0,7192.0,3698.0,1887.0,4426.0,4413.0,5307.0,7193.0,7188.0,6109.0,6098.0,2703.0,1902.0,4420.0,5302.0,1872.0,706.0,3706.0,7725.0,424.0,1898.0,8575.0,6671.0,716.0,1181.0,7205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.6255406,127.93141,벌-재래종,1,4321,7109.0,4319.0,3640.0,7116.0,3117.0,7107.0,7108.0,8213.0,8547.0,7110.0,5216.0,8549.0,4320.0,6609.0,4321.0,7699.0,1826.0,8550.0,3659.0,5244.0,681.0,1840.0,7136.0,397.0,3138.0,5248.0,398.0,1844.0,682.0,4351.0,5250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
