Latitude,Longitude,축종,발생두수,ID,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10,nearby_11,nearby_12,nearby_13,nearby_14,nearby_15,nearby_16,nearby_17,nearby_18,nearby_19,nearby_20,nearby_21,nearby_22,nearby_23,nearby_24,nearby_25,nearby_26,nearby_27,nearby_28,nearby_29,nearby_30,nearby_31,nearby_32,nearby_33,nearby_34,nearby_35,nearby_36,nearby_37,nearby_38,nearby_39,nearby_40,nearby_41,nearby_42,nearby_43,nearby_44,nearby_45,nearby_46,nearby_47,nearby_48,nearby_49,nearby_50,nearby_51,nearby_52,nearby_53,nearby_54,nearby_55,nearby_56,nearby_57,nearby_58,nearby_59,nearby_60,nearby_61,nearby_62,nearby_63,nearby_64,nearby_65,nearby_66,nearby_67,nearby_68,nearby_69,nearby_70,nearby_71,nearby_72,nearby_73,nearby_74,nearby_75,nearby_76,nearby_77,nearby_78,nearby_79,nearby_80,nearby_81,nearby_82,nearby_83,nearby_84,nearby_85,nearby_86,nearby_87,nearby_88,nearby_89,nearby_90,nearby_91,nearby_92,nearby_93,nearby_94,nearby_95,nearby_96
36.7403856,129.1983249,벌-재래종,7,6441,3453.0,922.0,3458.0,8047.0,7565.0,2974.0,4969.0,6441.0,2549.0,5811.0,6445.0,5512.0,4106.0,1359.0,228.0,2148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.7181091,129.2462741,벌-재래종,3,5512,3453.0,922.0,7565.0,2974.0,4969.0,6441.0,5512.0,4106.0,1359.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1453645,128.1335981,벌-재래종,4,730,729.0,730.0,4447.0,2748.0,2749.0,3163.0,1922.0,7227.0,2345.0,8624.0,4446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.4785066,129.1679121,벌-재래종,107,2536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.8167104,129.2501549,벌-재래종,2,596,922.0,3458.0,8049.0,8047.0,5812.0,4969.0,596.0,2549.0,5811.0,6445.0,4106.0,6916.0,2148.0,1681.0,1363.0,7571.0,8857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0087006,128.1617215,벌-재래종,4,6131,3716.0,6131.0,3160.0,2336.0,1191.0,5627.0,7730.0,5314.0,2735.0,429.0,7216.0,6688.0,8249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.8144001,128.1482474,벌-재래종,18,8909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4472938,127.6700914,벌-재래종,6,7070,1089.0,8531.0,6577.0,5171.0,4267.0,5986.0,1793.0,8182.0,7070.0,2261.0,3600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8560252,127.8469846,벌-재래종,26,706,5283.0,8570.0,6098.0,2703.0,1872.0,706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.6255406,127.93141,벌-재래종,1,4321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.017043,128.8162766,벌-재래종,2,951,4135.0,1705.0,3006.0,5004.0,6942.0,7598.0,2165.0,5834.0,8075.0,6945.0,944.0,4141.0,606.0,8078.0,2168.0,1713.0,1712.0,1711.0,3486.0,951.0,2170.0,4150.0,6470.0,5841.0,2563.0,6469.0,1375.0,5836.0,5011.0,5015.0,5030.0,973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.2954995,128.7889909,벌-재래종,3,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4439367,127.6250917,벌-재래종,2,1103,1089.0,8531.0,6577.0,5171.0,4267.0,5986.0,3609.0,1793.0,8182.0,1103.0,7070.0,2261.0,5182.0,3600.0,4282.0,6587.0,2273.0,3101.0,5588.0,7076.0,8189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4472938,127.6700914,벌-재래종,4,7070,1089.0,8531.0,6577.0,5171.0,4267.0,5986.0,1793.0,8182.0,7070.0,2261.0,3600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.4785066,129.1679121,벌-재래종,107,2536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5710458,127.6416006,벌-재래종,7,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0087006,128.1617215,벌-재래종,1,6131,3716.0,6131.0,3160.0,2336.0,1191.0,5627.0,7730.0,5314.0,2735.0,429.0,7216.0,6688.0,8249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.7264197,127.9160954,벌-재래종,1,3659,3659.0,5244.0,681.0,1840.0,7136.0,398.0,1844.0,682.0,4351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.2945638,129.0464878,벌-재래종,9,7544,883.0,8440.0,6397.0,7994.0,189.0,4896.0,6871.0,1635.0,5774.0,3404.0,7544.0,2928.0,4054.0,1335.0,2522.0,2108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.6170662,127.4871263,벌-재래종,1,1438,1438.0,2671.0,3633.0,4305.0,6023.0,2667.0,376.0,2670.0,669.0,6022.0,7099.0,5207.0,6017.0,1128.0,2669.0,1127.0,4310.0,5209.0,1821.0,5210.0,4308.0,8208.0,3632.0,4309.0,8890.0,3634.0,2672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.017043,128.8162766,벌-재래종,2,951,4135.0,1705.0,3006.0,5004.0,6942.0,7598.0,2165.0,5834.0,8075.0,6945.0,944.0,4141.0,606.0,8078.0,2168.0,1713.0,1712.0,1711.0,3486.0,951.0,2170.0,4150.0,6470.0,5841.0,2563.0,6469.0,1375.0,5836.0,5011.0,5015.0,5030.0,973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.7877626,129.2030091,벌-재래종,4,596,922.0,3458.0,8047.0,7565.0,4969.0,6441.0,596.0,2549.0,5811.0,6445.0,4106.0,6916.0,2148.0,1681.0,1363.0,7571.0,8857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.1986439,127.4529926,벌-재래종,106,7459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.497971,127.5050639,벌-재래종,9,3739,8537.0,1450.0,3739.0,7090.0,1107.0,1808.0,5590.0,5992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4615935,128.153439,벌-재래종,1,6584,7072.0,7073.0,6584.0,1804.0,4278.0,5180.0,5181.0,7677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.9786453,128.85124,벌-재래종,60,1705,1705.0,5004.0,6942.0,7598.0,2165.0,942.0,5834.0,8075.0,6944.0,6945.0,944.0,8076.0,7601.0,4136.0,4141.0,606.0,8078.0,6467.0,2168.0,1712.0,1711.0,3486.0,951.0,2170.0,6470.0,5841.0,2563.0,6469.0,1375.0,5836.0,5011.0,5015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.3321473,128.8067483,벌-재래종,1,2535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.5095472,129.0923238,벌-재래종,8,2536,7558.0,3434.0,1662.0,5499.0,2130.0,8460.0,2536.0,6896.0,1351.0,908.0,4931.0,5798.0,8022.0,2954.0,213.0,4081.0,6423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0060873,128.9653695,벌-재래종,6,1707,942.0,6944.0,8076.0,7601.0,4136.0,6467.0,3004.0,5832.0,5005.0,1707.0,2562.0,3484.0,8595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.2891333,128.8180761,벌-재래종,2,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8303719,127.8955118,벌-재래종,1,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9429407,127.4806675,벌-재래종,7,1886,2721.0,717.0,4417.0,3696.0,5292.0,8619.0,6106.0,2327.0,1886.0,8241.0,7189.0,1178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4250014,128.2967109,벌-재래종,1,652,650.0,7412.0,652.0,5165.0,1086.0,5975.0,8180.0,2633.0,2257.0,1789.0,8529.0,3094.0,2631.0,348.0,3596.0,1088.0,2260.0,8599.0,4266.0,5168.0,5978.0,6575.0,7059.0,8181.0,8530.0,7670.0,4263.0,1790.0,7057.0,7060.0,7061.0,1801.0,4275.0,7071.0,4274.0,3608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.7551344,128.1698493,벌-재래종,1,2547,2547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.4571359,129.3230741,벌-재래종,195,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.4571359,129.3230741,벌-재래종,127,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5290575,127.8523294,벌-재래종,1,7070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.2458153,128.045615,벌-재래종,1,3561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.6496554,128.7873596,벌-재래종,4,3440,3440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0412339,127.0393313,벌-재래종,1,6114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0053204,129.0451342,벌-재래종,6,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4615935,128.153439,벌-재래종,2,6584,7072.0,7073.0,6584.0,1804.0,4278.0,5180.0,5181.0,7677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4615935,128.153439,벌-재래종,2,6584,7072.0,7073.0,6584.0,1804.0,4278.0,5180.0,5181.0,7677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
