Latitude,Longitude,축종,발생두수,ID,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10,nearby_11,nearby_12,nearby_13,nearby_14,nearby_15,nearby_16,nearby_17,nearby_18,nearby_19,nearby_20,nearby_21,nearby_22,nearby_23,nearby_24,nearby_25,nearby_26,nearby_27,nearby_28,nearby_29,nearby_30,nearby_31,nearby_32,nearby_33,nearby_34,nearby_35,nearby_36,nearby_37,nearby_38,nearby_39,nearby_40,nearby_41,nearby_42,nearby_43,nearby_44,nearby_45,nearby_46,nearby_47,nearby_48,nearby_49,nearby_50,nearby_51,nearby_52,nearby_53,nearby_54,nearby_55,nearby_56,nearby_57,nearby_58,nearby_59,nearby_60,nearby_61,nearby_62,nearby_63,nearby_64,nearby_65,nearby_66,nearby_67,nearby_68,nearby_69,nearby_70,nearby_71,nearby_72,nearby_73,nearby_74,nearby_75,nearby_76,nearby_77,nearby_78,nearby_79,nearby_80,nearby_81,nearby_82,nearby_83,nearby_84,nearby_85,nearby_86,nearby_87,nearby_88,nearby_89,nearby_90,nearby_91,nearby_92,nearby_93,nearby_94,nearby_95,nearby_96,nearby_97,nearby_98,nearby_99,nearby_100,nearby_101,nearby_102,nearby_103,nearby_104,nearby_105,nearby_106,nearby_107,nearby_108,nearby_109,nearby_110,nearby_111,nearby_112,nearby_113,nearby_114,nearby_115,nearby_116,nearby_117,nearby_118,nearby_119,nearby_120,nearby_121,nearby_122,nearby_123
36.1533392,128.6041672,벌-개량종,20,6846,1318.0,6846.0,6841.0,8425.0,8427.0,6847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4679821,128.7981629,벌-개량종,250,2650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.3371588,127.8960781,벌-개량종,150,6867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.1712746,128.9669333,벌-개량종,230,632,2593.0,5909.0,632.0,5907.0,2591.0,2594.0,7410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.7551344,128.1698493,벌-개량종,63,2547,2547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.6789038,129.4305092,벌-개량종,7,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.6789038,129.4305092,벌-개량종,7,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9018596,126.8377851,벌-개량종,1,413,5619.0,5620.0,1173.0,3689.0,5286.0,7180.0,6660.0,2323.0,8239.0,707.0,4395.0,2704.0,3152.0,6100.0,1875.0,413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.178741,127.5891868,벌-개량종,5,302,5089.0,999.0,3043.0,1398.0,4198.0,298.0,5079.0,4197.0,6516.0,5893.0,302.0,1008.0,1011.0,8124.0,6514.0,6988.0,1400.0,8126.0,1013.0,1002.0,5076.0,3541.0,1403.0,5070.0,1405.0,295.0,6511.0,6989.0,4192.0,297.0,3529.0,5077.0,5084.0,3534.0,6518.0,5075.0,5552.0,5551.0,3533.0,6519.0,4199.0,5087.0,5082.0,4195.0,3532.0,3048.0,1007.0,3047.0,1003.0,5088.0,1401.0,1010.0,7631.0,5550.0,3049.0,2202.0,3530.0,1005.0,3531.0,1004.0,1406.0,1747.0,8125.0,5080.0,4196.0,5891.0,5081.0,6513.0,6986.0,5892.0,6987.0,1399.0,3046.0,5078.0,5549.0,5890.0,6512.0,1006.0,5083.0,6515.0,294.0,2201.0,3044.0,3525.0,5547.0,5886.0,8118.0,1012.0,5553.0,5894.0,6990.0,8127.0,1404.0,5067.0,5085.0,6517.0,8116.0,3535.0,299.0,8505.0,4200.0,5895.0,3051.0,1748.0,3524.0,3050.0,1009.0,6991.0,6985.0,5072.0,4194.0,6510.0,5548.0,6984.0,5074.0,1402.0,4193.0,296.0,8121.0,1001.0,8123.0,5071.0,5086.0
36.605193,128.2073429,벌-개량종,1,3442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
