Latitude,Longitude,축종,발생두수,ID,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10,nearby_11,nearby_12,nearby_13,nearby_14,nearby_15,nearby_16,nearby_17,nearby_18,nearby_19,nearby_20,nearby_21,nearby_22,nearby_23,nearby_24,nearby_25,nearby_26,nearby_27,nearby_28,nearby_29,nearby_30,nearby_31,nearby_32,nearby_33,nearby_34,nearby_35,nearby_36,nearby_37,nearby_38,nearby_39,nearby_40,nearby_41,nearby_42,nearby_43,nearby_44,nearby_45,nearby_46,nearby_47,nearby_48,nearby_49,nearby_50,nearby_51,nearby_52,nearby_53,nearby_54,nearby_55,nearby_56,nearby_57,nearby_58,nearby_59,nearby_60,nearby_61,nearby_62,nearby_63,nearby_64,nearby_65,nearby_66,nearby_67,nearby_68,nearby_69,nearby_70,nearby_71,nearby_72,nearby_73,nearby_74,nearby_75,nearby_76,nearby_77,nearby_78,nearby_79,nearby_80,nearby_81,nearby_82,nearby_83,nearby_84,nearby_85,nearby_86,nearby_87,nearby_88,nearby_89,nearby_90,nearby_91,nearby_92,nearby_93,nearby_94,nearby_95,nearby_96,nearby_97,nearby_98,nearby_99,nearby_100,nearby_101,nearby_102,nearby_103,nearby_104,nearby_105,nearby_106,nearby_107,nearby_108,nearby_109,nearby_110,nearby_111,nearby_112,nearby_113,nearby_114,nearby_115,nearby_116,nearby_117,nearby_118,nearby_119,nearby_120,nearby_121,nearby_122,nearby_123,nearby_124,nearby_125,nearby_126,nearby_127,nearby_128,nearby_129,nearby_130,nearby_131,nearby_132,nearby_133,nearby_134,nearby_135,nearby_136,nearby_137,nearby_138,nearby_139,nearby_140,nearby_141,nearby_142,nearby_143,nearby_144,nearby_145,nearby_146,nearby_147,nearby_148,nearby_149,nearby_150,nearby_151,nearby_152,nearby_153,nearby_154,nearby_155,nearby_156,nearby_157,nearby_158,nearby_159,nearby_160,nearby_161,nearby_162,nearby_163,nearby_164,nearby_165,nearby_166,nearby_167,nearby_168,nearby_169,nearby_170,nearby_171,nearby_172,nearby_173,nearby_174,nearby_175,nearby_176,nearby_177,nearby_178,nearby_179,nearby_180,nearby_181,nearby_182,nearby_183,nearby_184,nearby_185,nearby_186,nearby_187,nearby_188,nearby_189,nearby_190,nearby_191,nearby_192,nearby_193,nearby_194,nearby_195,nearby_196,nearby_197,nearby_198,nearby_199,nearby_200,nearby_201,nearby_202,nearby_203,nearby_204,nearby_205,nearby_206,nearby_207,nearby_208,nearby_209,nearby_210,nearby_211,nearby_212,nearby_213,nearby_214,nearby_215,nearby_216,nearby_217,nearby_218,nearby_219,nearby_220,nearby_221,nearby_222,nearby_223,nearby_224,nearby_225,nearby_226,nearby_227,nearby_228,nearby_229,nearby_230,nearby_231,nearby_232,nearby_233,nearby_234,nearby_235,nearby_236,nearby_237,nearby_238,nearby_239,nearby_240,nearby_241,nearby_242,nearby_243,nearby_244,nearby_245,nearby_246,nearby_247,nearby_248,nearby_249,nearby_250,nearby_251,nearby_252,nearby_253,nearby_254,nearby_255,nearby_256,nearby_257,nearby_258,nearby_259,nearby_260,nearby_261,nearby_262,nearby_263,nearby_264,nearby_265,nearby_266,nearby_267,nearby_268,nearby_269,nearby_270,nearby_271,nearby_272,nearby_273,nearby_274,nearby_275,nearby_276,nearby_277,nearby_278,nearby_279,nearby_280,nearby_281,nearby_282,nearby_283,nearby_284,nearby_285,nearby_286,nearby_287,nearby_288,nearby_289,nearby_290,nearby_291,nearby_292,nearby_293,nearby_294,nearby_295,nearby_296,nearby_297,nearby_298,nearby_299,nearby_300,nearby_301,nearby_302,nearby_303,nearby_304,nearby_305,nearby_306,nearby_307,nearby_308,nearby_309,nearby_310,nearby_311,nearby_312,nearby_313,nearby_314,nearby_315,nearby_316,nearby_317,nearby_318,nearby_319,nearby_320,nearby_321,nearby_322,nearby_323,nearby_324,nearby_325,nearby_326,nearby_327,nearby_328,nearby_329,nearby_330,nearby_331,nearby_332,nearby_333,nearby_334,nearby_335,nearby_336,nearby_337,nearby_338,nearby_339,nearby_340,nearby_341,nearby_342,nearby_343,nearby_344,nearby_345,nearby_346,nearby_347,nearby_348,nearby_349,nearby_350,nearby_351,nearby_352,nearby_353,nearby_354,nearby_355,nearby_356,nearby_357,nearby_358,nearby_359,nearby_360,nearby_361,nearby_362,nearby_363,nearby_364,nearby_365,nearby_366,nearby_367,nearby_368,nearby_369,nearby_370,nearby_371,nearby_372,nearby_373,nearby_374,nearby_375,nearby_376,nearby_377,nearby_378,nearby_379,nearby_380,nearby_381,nearby_382,nearby_383,nearby_384,nearby_385,nearby_386,nearby_387,nearby_388,nearby_389,nearby_390,nearby_391,nearby_392,nearby_393,nearby_394,nearby_395,nearby_396,nearby_397,nearby_398,nearby_399,nearby_400,nearby_401,nearby_402,nearby_403,nearby_404,nearby_405,nearby_406,nearby_407,nearby_408,nearby_409,nearby_410,nearby_411,nearby_412,nearby_413,nearby_414,nearby_415,nearby_416,nearby_417,nearby_418,nearby_419,nearby_420,nearby_421,nearby_422,nearby_423,nearby_424,nearby_425,nearby_426,nearby_427,nearby_428,nearby_429,nearby_430,nearby_431,nearby_432,nearby_433,nearby_434,nearby_435,nearby_436,nearby_437,nearby_438,nearby_439,nearby_440,nearby_441,nearby_442,nearby_443,nearby_444,nearby_445,nearby_446,nearby_447,nearby_448,nearby_449,nearby_450,nearby_451,nearby_452,nearby_453,nearby_454,nearby_455,nearby_456,nearby_457,nearby_458,nearby_459,nearby_460,nearby_461,nearby_462,nearby_463,nearby_464,nearby_465,nearby_466,nearby_467,nearby_468,nearby_469,nearby_470,nearby_471,nearby_472,nearby_473,nearby_474,nearby_475,nearby_476,nearby_477,nearby_478,nearby_479,nearby_480,nearby_481,nearby_482,nearby_483,nearby_484,nearby_485,nearby_486,nearby_487,nearby_488,nearby_489,nearby_490,nearby_491,nearby_492,nearby_493,nearby_494,nearby_495,nearby_496
36.1533392,128.6041672,벌-개량종,20,6846,8416.0,1316.0,1318.0,1320.0,2512.0,4866.0,6359.0,6837.0,6846.0,6841.0,8425.0,6374.0,4036.0,8427.0,6828.0,8426.0,581.0,6847.0,870.0,8415.0,1597.0,1608.0,882.0,880.0,4892.0,6869.0,6870.0,4895.0,1334.0,7543.0,1636.0,5770.0,8439.0,3403.0,2926.0,1331.0,2923.0,5479.0,7991.0,7993.0,181.0,175.0,2922.0,6394.0,2359.0,6393.0,8431.0,1629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4679821,128.7981629,벌-개량종,250,2650,3175.0,5958.0,664.0,7684.0,7042.0,4249.0,5996.0,8600.0,7040.0,4250.0,1116.0,666.0,2650.0,7664.0,2660.0,8206.0,2293.0,2661.0,2666.0,2664.0,668.0,8605.0,4303.0,8603.0,4304.0,8602.0,6018.0,1126.0,1119.0,1117.0,6005.0,6007.0,6602.0,8601.0,8604.0,6003.0,6015.0,6019.0,8606.0,672.0,1133.0,2676.0,6028.0,8610.0,7106.0,6029.0,673.0,2677.0,7102.0,7695.0,675.0,4317.0,8611.0,1134.0,6033.0,2678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.3371588,127.8960781,벌-개량종,150,6867,6365.0,858.0,495.0,8420.0,862.0,1605.0,4860.0,8421.0,6835.0,1606.0,865.0,3382.0,6375.0,7976.0,7971.0,2083.0,4038.0,1321.0,2091.0,2912.0,6845.0,4865.0,4870.0,1611.0,1609.0,869.0,498.0,159.0,162.0,6839.0,6844.0,163.0,4868.0,2514.0,1319.0,164.0,2085.0,6373.0,6850.0,4031.0,5756.0,5757.0,2513.0,1613.0,1615.0,7528.0,7531.0,1322.0,1614.0,4037.0,6376.0,6849.0,2087.0,867.0,2086.0,4032.0,5758.0,1610.0,3390.0,4871.0,5759.0,2088.0,4033.0,7968.0,866.0,2084.0,2908.0,3386.0,4029.0,4864.0,6371.0,7963.0,161.0,2090.0,3391.0,4035.0,5760.0,6836.0,6370.0,497.0,5754.0,4862.0,4028.0,3384.0,2905.0,2082.0,2911.0,7967.0,2089.0,157.0,868.0,158.0,502.0,1324.0,1620.0,6380.0,6858.0,7534.0,4045.0,2098.0,4879.0,6381.0,2916.0,5766.0,876.0,3402.0,7539.0,506.0,2521.0,178.0,6382.0,6386.0,1326.0,1330.0,176.0,4889.0,1631.0,7535.0,8904.0,7988.0,3400.0,505.0,1625.0,1628.0,879.0,4053.0,6389.0,4891.0,6867.0,7541.0,1632.0,1332.0,2925.0,196.0,895.0,2523.0,2115.0,2524.0,5785.0,8831.0,2525.0,198.0,2946.0,3420.0,5488.0,1342.0,5489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.1712746,128.9669333,벌-개량종,230,632,973.0,1039.0,7411.0,6535.0,2593.0,7632.0,1030.0,5915.0,5909.0,5902.0,301.0,639.0,2226.0,4219.0,2607.0,5126.0,6542.0,8147.0,5933.0,7024.0,7650.0,1768.0,1773.0,643.0,2617.0,4238.0,7032.0,5946.0,6549.0,7656.0,8096.0,3497.0,1707.0,2562.0,3484.0,8595.0,960.0,5855.0,4156.0,5038.0,2569.0,6950.0,5024.0,1727.0,6956.0,6478.0,610.0,3024.0,1719.0,2570.0,1722.0,1715.0,7604.0,7608.0,972.0,6482.0,7610.0,284.0,6490.0,7616.0,4169.0,6491.0,7617.0,4174.0,620.0,4175.0,622.0,5876.0,6977.0,5878.0,623.0,993.0,2586.0,4179.0,5879.0,6978.0,1736.0,2587.0,5881.0,6979.0,8943.0,1737.0,2589.0,2590.0,1740.0,6499.0,4205.0,4183.0,632.0,5907.0,1752.0,2591.0,6525.0,7634.0,7627.0,2594.0,7410.0,5128.0,4225.0,7035.0,2239.0,3080.0,7405.0,6532.0,4211.0,2618.0,8160.0,1416.0,5947.0,644.0,7655.0,1411.0,5569.0,1754.0,634.0,4240.0,329.0,5138.0,1058.0,5917.0,2599.0,1027.0,7004.0,8513.0,7402.0,527.0,5882.0,5875.0,2581.0,2582.0,7270.0,5865.0,4166.0,985.0,2190.0,1735.0,8103.0,1757.0,5870.0,4176.0,2196.0,5869.0,5872.0,2191.0,2578.0,2221.0,2577.0,5936.0,7639.0,986.0,6974.0,7623.0,8111.0,5863.0,8872.0,2576.0,992.0,281.0,2188.0,6498.0,618.0,2583.0,2573.0,291.0,6980.0,5868.0,5864.0,8870.0,5051.0,5060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.7551344,128.1698493,벌-개량종,63,2547,1355.0,4947.0,1671.0,594.0,5507.0,7267.0,2137.0,8853.0,2542.0,2363.0,4091.0,518.0,916.0,4601.0,6903.0,223.0,2962.0,5801.0,8464.0,8909.0,6432.0,225.0,4095.0,4946.0,2138.0,7564.0,5508.0,1357.0,4602.0,3442.0,1674.0,8036.0,6433.0,8851.0,5805.0,2547.0,2364.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.6789038,129.4305092,벌-개량종,7,569,566.0,2858.0,2025.0,3949.0,4778.0,5430.0,5702.0,6290.0,6755.0,8776.0,108.0,1556.0,2027.0,2862.0,3951.0,4782.0,5431.0,6294.0,6759.0,7903.0,8778.0,569.0,806.0,1557.0,2028.0,2864.0,3331.0,3952.0,4785.0,5432.0,5705.0,6300.0,7911.0,810.0,2871.0,6295.0,6767.0,5434.0,7904.0,3959.0,6762.0,2033.0,8786.0,4790.0,8779.0,8792.0,3971.0,8390.0,7490.0,6309.0,4804.0,6307.0,6316.0,6311.0,6783.0,6782.0,820.0,8393.0,8790.0,5717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.6789038,129.4305092,벌-개량종,7,569,566.0,2858.0,2025.0,3949.0,4778.0,5430.0,5702.0,6290.0,6755.0,8776.0,108.0,1556.0,2027.0,2862.0,3951.0,4782.0,5431.0,6294.0,6759.0,7903.0,8778.0,569.0,806.0,1557.0,2028.0,2864.0,3331.0,3952.0,4785.0,5432.0,5705.0,6300.0,7911.0,810.0,2871.0,6295.0,6767.0,5434.0,7904.0,3959.0,6762.0,2033.0,8786.0,4790.0,8779.0,8792.0,3971.0,8390.0,7490.0,6309.0,4804.0,6307.0,6316.0,6311.0,6783.0,6782.0,820.0,8393.0,8790.0,5717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9018596,126.8377851,벌-개량종,1,413,3674.0,6646.0,5619.0,4350.0,5620.0,1173.0,3689.0,5286.0,3139.0,7180.0,7158.0,6660.0,2323.0,8239.0,707.0,4371.0,4395.0,2704.0,3152.0,6100.0,5270.0,405.0,7160.0,5269.0,7714.0,5271.0,8564.0,4372.0,1875.0,1163.0,413.0,2316.0,4374.0,3675.0,3676.0,7715.0,7716.0,404.0,4373.0,3677.0,6077.0,7162.0,3143.0,6637.0,7156.0,401.0,3678.0,8231.0,6645.0,6071.0,7139.0,5246.0,5296.0,8243.0,1843.0,6629.0,8558.0,6072.0,7707.0,3664.0,7143.0,7138.0,2690.0,4349.0,5253.0,5614.0,8559.0,7286.0,4354.0,6074.0,683.0,3141.0,2697.0,7708.0,4414.0,6648.0,5272.0,5295.0,4376.0,8574.0,1895.0,5252.0,4355.0,1856.0,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.178741,127.5891868,벌-개량종,5,302,6504.0,5063.0,5066.0,2200.0,3042.0,8113.0,3523.0,6982.0,1397.0,1395.0,998.0,5546.0,5905.0,2205.0,1016.0,5094.0,3045.0,5090.0,6523.0,5904.0,5903.0,629.0,3543.0,5889.0,8115.0,3540.0,3539.0,3052.0,3536.0,5093.0,3053.0,3054.0,3055.0,8128.0,5896.0,5897.0,1020.0,1407.0,1015.0,6522.0,5910.0,5089.0,5901.0,2207.0,1019.0,6996.0,5092.0,3538.0,5097.0,1022.0,304.0,1014.0,5900.0,8131.0,1023.0,3057.0,6995.0,4204.0,3544.0,5101.0,5911.0,5102.0,8130.0,3549.0,5106.0,5913.0,6527.0,8135.0,3547.0,1025.0,308.0,2595.0,4206.0,1026.0,5105.0,6528.0,6997.0,8137.0,8136.0,309.0,4208.0,3548.0,3059.0,5104.0,3546.0,6526.0,5912.0,5103.0,3545.0,4207.0,3499.0,5843.0,5848.0,261.0,5849.0,961.0,3018.0,1377.0,6471.0,2173.0,5017.0,6949.0,5846.0,4146.0,3017.0,959.0,4144.0,8088.0,962.0,8085.0,963.0,8087.0,5025.0,958.0,5026.0,957.0,8596.0,956.0,954.0,4148.0,3015.0,5022.0,5027.0,3014.0,8086.0,5021.0,1714.0,5019.0,1717.0,964.0,5847.0,3493.0,3495.0,3496.0,1378.0,3498.0,1720.0,5028.0,965.0,3019.0,5029.0,5850.0,263.0,966.0,5851.0,6473.0,2565.0,8089.0,968.0,3501.0,8092.0,1383.0,5033.0,8093.0,5853.0,4152.0,6953.0,6952.0,5032.0,6475.0,6477.0,8091.0,1382.0,6476.0,1721.0,3503.0,3022.0,3502.0,3021.0,969.0,6954.0,2177.0,3507.0,5039.0,2181.0,3030.0,1384.0,5856.0,268.0,3504.0,3023.0,6481.0,8098.0,5532.0,265.0,3505.0,971.0,1386.0,2179.0,3028.0,5035.0,5534.0,975.0,1388.0,272.0,3032.0,4158.0,5535.0,3509.0,5041.0,5862.0,6484.0,6960.0,273.0,977.0,3035.0,3510.0,5042.0,6485.0,8100.0,282.0,6967.0,6501.0,999.0,3043.0,1398.0,4198.0,298.0,5079.0,4197.0,6516.0,5893.0,302.0,1008.0,1011.0,8124.0,6514.0,6988.0,1400.0,8126.0,1013.0,1002.0,5076.0,3541.0,1403.0,5070.0,1405.0,295.0,6511.0,6989.0,4192.0,297.0,3529.0,5077.0,5084.0,3534.0,6518.0,5075.0,5552.0,5551.0,3533.0,6519.0,4199.0,5087.0,5082.0,4195.0,3532.0,3048.0,1007.0,3047.0,1003.0,5088.0,1401.0,1010.0,7631.0,5550.0,3049.0,2202.0,3530.0,1005.0,3531.0,1004.0,1406.0,1747.0,8125.0,5080.0,4196.0,5891.0,5081.0,6513.0,6986.0,5892.0,6987.0,1399.0,3046.0,5078.0,5549.0,5890.0,6512.0,1006.0,5083.0,6515.0,294.0,2201.0,3044.0,3525.0,5547.0,5886.0,8118.0,1012.0,5553.0,5894.0,6990.0,8127.0,1404.0,5067.0,5085.0,6517.0,8116.0,3535.0,299.0,8505.0,4200.0,5895.0,3051.0,1748.0,3524.0,3050.0,1009.0,6991.0,5091.0,303.0,3537.0,5888.0,8129.0,6985.0,306.0,5073.0,1017.0,4202.0,3528.0,5072.0,4194.0,6510.0,5548.0,6984.0,5074.0,1402.0,4193.0,296.0,8121.0,6994.0,5898.0,1001.0,6992.0,8123.0,1021.0,8133.0,6520.0,5554.0,1746.0,2208.0,3056.0,5071.0,5086.0,6961.0,262.0,4160.0,277.0,8495.0,6486.0,2184.0,5044.0,2174.0,5023.0,3511.0,4149.0,274.0,276.0,3513.0,6472.0,981.0,3494.0,1389.0,278.0,4161.0,4162.0,7612.0,5537.0,2186.0,3036.0,8102.0,1729.0,5046.0,5045.0,2185.0,615.0,5047.0,982.0,279.0,3514.0,5050.0,8499.0,983.0,5871.0,5540.0,5543.0,6505.0,7629.0,626.0,997.0,1742.0,4187.0,5065.0,1743.0,3522.0,1744.0,5069.0,627.0,8120.0,4188.0,3527.0,1000.0,4190.0,8119.0,4191.0,5887.0,8117.0,6508.0,5068.0,4189.0,1745.0,7630.0,3526.0,6507.0,5885.0,6509.0,5908.0,5100.0,1024.0,5099.0,631.0,2206.0,8132.0,300.0,2592.0,1749.0,4201.0,2203.0,307.0,5906.0,3542.0,1018.0,6993.0,5899.0,5095.0,1750.0,6521.0,630.0,2204.0,8122.0,628.0,8134.0,3058.0,5098.0,5096.0,305.0,1766.0,2610.0,4224.0,5127.0,2609.0,1763.0,2608.0,7020.0,7648.0,7034.0,8149.0,7022.0,5143.0,5130.0,4228.0,8165.0,8163.0,2240.0,3083.0,2243.0,5573.0,3084.0,4242.0,4245.0,1776.0,5951.0,6554.0,8522.0,3575.0,330.0,5954.0,3573.0,1062.0,7039.0,6562.0,5147.0,1067.0,2622.0,334.0
36.605193,128.2073429,벌-개량종,1,3442,1355.0,4947.0,1671.0,594.0,5507.0,7267.0,2137.0,8853.0,2542.0,2363.0,4091.0,518.0,916.0,4601.0,6903.0,223.0,2962.0,5801.0,8464.0,8909.0,6432.0,225.0,4095.0,4946.0,2138.0,7564.0,5508.0,1357.0,4602.0,3442.0,1674.0,8036.0,6433.0,8851.0,5805.0,2547.0,2364.0,920.0,211.0,906.0,1350.0,1661.0,2129.0,2533.0,3432.0,4078.0,4928.0,5498.0,5796.0,6421.0,6894.0,7556.0,8019.0,8459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
