Latitude,Longitude,축종,발생두수,ID,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10,nearby_11,nearby_12,nearby_13,nearby_14,nearby_15,nearby_16,nearby_17,nearby_18,nearby_19
36.1533392,128.6041672,벌-개량종,20,6846,,,,,,,,,,,,,,,,,,,
37.4679821,128.7981629,벌-개량종,250,2650,,,,,,,,,,,,,,,,,,,
36.3371588,127.8960781,벌-개량종,150,6867,,,,,,,,,,,,,,,,,,,
37.1712746,128.9669333,벌-개량종,230,632,632.0,2594.0,,,,,,,,,,,,,,,,,
36.7551344,128.1698493,벌-개량종,63,2547,,,,,,,,,,,,,,,,,,,
35.6789038,129.4305092,벌-개량종,7,569,,,,,,,,,,,,,,,,,,,
35.6789038,129.4305092,벌-개량종,7,569,,,,,,,,,,,,,,,,,,,
37.9018596,126.8377851,벌-개량종,1,413,5620.0,7180.0,8239.0,2704.0,3152.0,6100.0,1875.0,413.0,,,,,,,,,,,
37.178741,127.5891868,벌-개량종,5,302,,,,,,,,,,,,,,,,,,,
36.605193,128.2073429,벌-개량종,1,3442,,,,,,,,,,,,,,,,,,,
35.3241616,128.4270594,벌-개량종,1,6270,6270.0,7871.0,4750.0,,,,,,,,,,,,,,,,
37.146709,129.0483328,벌-개량종,170,7634,4205.0,1752.0,6525.0,7634.0,1027.0,,,,,,,,,,,,,,
37.8496926,126.9644347,벌-개량종,1,2697,,,,,,,,,,,,,,,,,,,
35.9213983,129.1566704,벌-개량종,8,6790,,,,,,,,,,,,,,,,,,,
36.4328334,128.0152246,벌-개량종,100,178,,,,,,,,,,,,,,,,,,,
35.433975,127.6260086,벌-개량종,80,4575,7387.0,475.0,8766.0,6740.0,4575.0,1278.0,2014.0,2847.0,90.0,1540.0,565.0,,,,,,,,
36.7325426,128.1554979,벌-개량종,3,8851,,,,,,,,,,,,,,,,,,,
35.2480059,126.9756866,벌-개량종,1,562,,,,,,,,,,,,,,,,,,,
35.3608443,128.4593874,벌-개량종,1,8900,5420.0,8900.0,2010.0,,,,,,,,,,,,,,,,
35.2164841,126.5568892,벌-개량종,100,1991,1989.0,2822.0,1991.0,7852.0,5403.0,2824.0,72.0,6253.0,7854.0,1985.0,69.0,1984.0,4734.0,1990.0,1988.0,2821.0,6727.0,71.0,1518.0
37.2140877,129.3262249,벌-개량종,51,8872,,,,,,,,,,,,,,,,,,,
37.8708318,126.9915122,벌-개량종,1,5295,,,,,,,,,,,,,,,,,,,
35.6618261,129.4303147,벌-개량종,50,569,,,,,,,,,,,,,,,,,,,
35.0389006,126.9988465,벌-개량종,1,6717,,,,,,,,,,,,,,,,,,,
37.7072744,128.9161633,벌-개량종,60,2666,,,,,,,,,,,,,,,,,,,
