Latitude,Longitude,축종,발생두수,ID,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10,nearby_11,nearby_12,nearby_13,nearby_14,nearby_15,nearby_16,nearby_17,nearby_18,nearby_19,nearby_20,nearby_21,nearby_22,nearby_23,nearby_24,nearby_25,nearby_26,nearby_27,nearby_28,nearby_29,nearby_30,nearby_31,nearby_32,nearby_33,nearby_34,nearby_35,nearby_36,nearby_37,nearby_38,nearby_39,nearby_40,nearby_41,nearby_42,nearby_43,nearby_44,nearby_45,nearby_46,nearby_47,nearby_48,nearby_49,nearby_50,nearby_51,nearby_52,nearby_53,nearby_54,nearby_55,nearby_56,nearby_57,nearby_58,nearby_59,nearby_60,nearby_61,nearby_62,nearby_63,nearby_64,nearby_65,nearby_66,nearby_67,nearby_68,nearby_69,nearby_70,nearby_71,nearby_72,nearby_73,nearby_74,nearby_75,nearby_76,nearby_77,nearby_78,nearby_79,nearby_80,nearby_81,nearby_82,nearby_83,nearby_84,nearby_85,nearby_86,nearby_87,nearby_88,nearby_89,nearby_90,nearby_91,nearby_92,nearby_93,nearby_94,nearby_95,nearby_96,nearby_97,nearby_98,nearby_99,nearby_100,nearby_101,nearby_102,nearby_103,nearby_104,nearby_105,nearby_106,nearby_107,nearby_108,nearby_109,nearby_110,nearby_111,nearby_112,nearby_113,nearby_114,nearby_115,nearby_116,nearby_117,nearby_118,nearby_119,nearby_120,nearby_121,nearby_122,nearby_123
36.1533392,128.6041672,벌-개량종,20,6846,고욤나무,애기똥풀,애기똥풀,주름잎,주름잎,애기똥풀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4679821,128.7981629,벌-개량종,250,2650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.3371588,127.8960781,벌-개량종,150,6867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.1712746,128.9669333,벌-개량종,230,632,다래,신갈나무,개다래,신갈나무,다래,다래,인가목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.7551344,128.1698493,벌-개량종,63,2547,다래,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.6789038,129.4305092,벌-개량종,7,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.6789038,129.4305092,벌-개량종,7,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9018596,126.8377851,벌-개량종,1,413,상수리나무,상수리나무,개옻나무,밤나무,산초나무,애기똥풀,아까시나무,굴참나무,졸참나무,개다래,붉나무,다래,떡갈나무,신갈나무,광대싸리,갈참나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.178741,127.5891868,벌-개량종,5,302,산초나무,개옻나무,떡갈나무,고욤나무,붉나무,갈참나무,산초나무,붉나무,아까시나무,신갈나무,갈참나무,개옻나무,개옻나무,졸참나무,아까시나무,애기똥풀,고욤나무,졸참나무,개옻나무,개옻나무,산초나무,밤나무,고욤나무,산초나무,고욤나무,갈참나무,아까시나무,애기똥풀,붉나무,갈참나무,밤나무,산초나무,산초나무,밤나무,아까시나무,산초나무,상수리나무,상수리나무,밤나무,아까시나무,붉나무,산초나무,산초나무,붉나무,밤나무,떡갈나무,개옻나무,떡갈나무,개옻나무,산초나무,고욤나무,개옻나무,족제비싸리,상수리나무,떡갈나무,굴참나무,밤나무,개옻나무,밤나무,개옻나무,고욤나무,광대싸리,졸참나무,산초나무,붉나무,신갈나무,산초나무,아까시나무,애기똥풀,신갈나무,애기똥풀,고욤나무,떡갈나무,산초나무,상수리나무,신갈나무,아까시나무,개옻나무,산초나무,아까시나무,갈참나무,굴참나무,떡갈나무,밤나무,상수리나무,신갈나무,졸참나무,개옻나무,상수리나무,신갈나무,애기똥풀,졸참나무,고욤나무,산초나무,산초나무,아까시나무,졸참나무,밤나무,갈참나무,주름잎,붉나무,신갈나무,떡갈나무,광대싸리,밤나무,떡갈나무,개옻나무,애기똥풀,애기똥풀,산초나무,붉나무,아까시나무,상수리나무,애기똥풀,산초나무,고욤나무,붉나무,갈참나무,졸참나무,개옻나무,졸참나무,산초나무,산초나무
36.605193,128.2073429,벌-개량종,1,3442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.3241616,128.4270594,벌-개량종,1,6270,아까시나무,아까시나무,졸참나무,산초나무,족제비싸리,밤나무,고욤나무,고욤나무,밤나무,광대싸리,피마자,애기똥풀,초피나무,개옻나무,산검양옻나무,붉나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.146709,129.0483328,벌-개량종,170,7634,붉나무,개다래,붉나무,개다래,신갈나무,애기똥풀,신갈나무,개다래,개옻나무,다래,붉나무,신갈나무,애기똥풀,광대싸리,다래,신갈나무,애기똥풀,해당화,광대싸리,다래,다래,광대싸리,아까시나무,붉나무,붉나무,광대싸리,아까시나무,족제비싸리,족제비싸리,아까시나무,붉나무,고욤나무,광대싸리,개다래,신갈나무,다래,개옻나무,애기똥풀,신갈나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8496926,126.9644347,벌-개량종,1,2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.9213983,129.1566704,벌-개량종,8,6790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.4328334,128.0152246,벌-개량종,100,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.433975,127.6260086,벌-개량종,80,4575,유채,감나무,초피나무,애기똥풀,산검양옻나무,초피나무,아까시나무,상수리나무,붉나무,고욤나무,떡갈나무,누운주름잎,굴참나무,갈참나무,개다래,떡갈나무,다래,갈참나무,광대싸리,아까시나무,개다래,졸참나무,밤나무,신갈나무,상수리나무,족제비싸리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.7325426,128.1554979,벌-개량종,3,8851,피마자,갈참나무,붉나무,족제비싸리,고욤나무,산밤나무,광대싸리,졸참나무,초피나무,신갈나무,다래,개옻나무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
