종,위도,경도,카운트
가시나무,34.282386,126.19884,1
가시나무,34.284933,126.191617,1
가시나무,34.95661389,127.4549167,1
갈졸참나무,35.9882105,128.1010932,1
갈졸참나무,37.41875,127.3733889,1
갈졸참나무,37.50523889,127.2458861,1
갈졸참나무,37.96538889,124.7195281,1
갈참나무,34.32333333,126.9836111,1
갈참나무,34.35805556,126.6858333,1
갈참나무,34.51123611,126.3338111,1
갈참나무,34.51626667,127.4255917,1
갈참나무,34.52121944,126.3209972,1
갈참나무,34.52208611,126.464375,1
갈참나무,34.54386389,126.2960583,1
갈참나무,34.5579,127.2608778,1
갈참나무,34.56361111,127.2388889,1
갈참나무,34.60597778,126.5928611,1
갈참나무,34.60715,126.8605167,1
갈참나무,34.61416667,126.8380556,1
갈참나무,34.63,127.3319444,1
갈참나무,34.63648889,128.2887889,1
갈참나무,34.64046667,126.95695,1
갈참나무,34.68045556,127.7732139,1
갈참나무,34.69168333,127.0130167,1
갈참나무,34.69527778,127.4366667,1
갈참나무,34.71821111,128.0085139,1
갈참나무,34.72361111,127.1952778,1
갈참나무,34.76392778,127.377125,2
갈참나무,34.77486111,127.0183611,1
갈참나무,34.79879722,127.3073806,1
갈참나무,34.80080556,127.1806778,1
갈참나무,34.80211389,127.177825,1
갈참나무,34.81271944,127.6048833,1
갈참나무,34.81541111,127.6003889,1
갈참나무,34.81706667,127.6915194,2
갈참나무,34.82138889,127.6987972,1
갈참나무,34.83886111,126.0964167,1
갈참나무,34.84446389,128.0221444,1
갈참나무,34.84555278,126.2659167,1
갈참나무,34.86878889,128.0028028,2
갈참나무,34.87002778,126.9031111,1
갈참나무,34.87125,126.8172222,1
갈참나무,34.87280556,126.853,1
갈참나무,34.89025,126.0445,1
갈참나무,34.90409444,126.5284306,1
갈참나무,34.90411111,126.9086667,1
갈참나무,34.90866667,126.9128611,1
갈참나무,34.92522222,127.0975556,1
갈참나무,34.92670278,127.6391167,1
갈참나무,34.94318889,127.6471944,1
갈참나무,34.95473333,127.3215917,1
갈참나무,34.95708056,127.4508417,1
갈참나무,34.96469722,128.1075917,1
갈참나무,34.96931667,128.1002167,1
갈참나무,34.97530556,127.5117861,1
갈참나무,34.99075,127.8529194,1
갈참나무,34.99529444,127.8645333,1
갈참나무,34.99813611,128.0904694,1
갈참나무,35.00950556,126.8707444,1
갈참나무,35.01109167,126.8669278,1
갈참나무,35.01111944,126.8386194,1
갈참나무,35.01332778,126.8578611,1
갈참나무,35.04263889,126.4676667,1
갈참나무,35.09691667,128.17125,1
갈참나무,35.16947222,127.34725,1
갈참나무,35.17002778,127.1485556,1
갈참나무,35.18111111,128.3958333,1
갈참나무,35.18777778,126.5575,1
갈참나무,35.19361111,126.5547222,1
갈참나무,35.19638889,128.4136111,1
갈참나무,35.19694444,126.5680556,1
갈참나무,35.19722222,126.5525,1
갈참나무,35.2025,128.41625,1
갈참나무,35.24347222,127.7502778,1
갈참나무,35.26578333,127.3453167,1
갈참나무,35.27241111,128.9100028,1
갈참나무,35.27333333,126.6086111,1
갈참나무,35.28011667,127.2175333,1
갈참나무,35.29548889,126.6858722,1
갈참나무,35.30833333,128.2275,2
갈참나무,35.32010556,129.1324778,1
갈참나무,35.36736111,126.7268611,1
갈참나무,35.38750556,126.410275,1
갈참나무,35.39611111,128.48525,1
갈참나무,35.40081944,129.1373028,1
갈참나무,35.41586111,127.9647219,1
갈참나무,35.420503,128.440988,1
갈참나무,35.42578333,126.4812,1
갈참나무,35.44993333,127.5899833,1
갈참나무,35.45618333,127.639,1
갈참나무,35.46155306,128.3219919,1
갈참나무,35.46305556,128.5388889,1
갈참나무,35.46666667,128.575,1
갈참나무,35.47311111,128.2929969,1
갈참나무,35.49166694,128.3,1
갈참나무,35.5028,129.0768831,1
갈참나무,35.52480306,128.2128389,1
갈참나무,35.53974611,128.3054239,1
갈참나무,35.54355556,127.5738,1
갈참나무,35.56527778,127.2816667,1
갈참나무,35.57440611,128.8226689,1
갈참나무,35.57464194,127.8547169,1
갈참나무,35.578075,128.7322581,1
갈참나무,35.583025,127.8165169,1
갈참나무,35.58686111,128.3463331,1
갈참나무,35.59576389,127.9256189,1
갈참나무,35.60888889,126.7977778,1
갈참나무,35.61317194,129.2583581,1
갈참나무,35.63870611,129.1109169,1
갈참나무,35.64075,128.3304439,1
갈참나무,35.64091111,128.3280811,2
갈참나무,35.64972194,128.9688889,1
갈참나무,35.67033306,128.0543331,1
갈참나무,35.68735611,127.784425,1
갈참나무,35.69759,128.7745281,1
갈참나무,35.71425611,127.7059031,1
갈참나무,35.71522194,127.9625831,1
갈참나무,35.73476389,128.6481111,1
갈참나무,35.74308611,128.1921639,1
갈참나무,35.76166667,129.1525,1
갈참나무,35.76377806,128.1880281,1
갈참나무,35.7686,128.7886667,1
갈참나무,35.79993333,128.6985028,2
갈참나무,35.820984,129.034234,1
갈참나무,35.82547778,126.4545778,1
갈참나무,35.82579444,128.87465,1
갈참나무,35.82635,128.8582833,1
갈참나무,35.85833306,128.1222219,1
갈참나무,35.89073611,129.4163361,1
