종,위도,경도,카운트,ID
가시나무,34.282386,126.19884,1,1
가시나무,34.284933,126.191617,1,2
가시나무,34.95661389,127.4549167,1,3
갈졸참나무,35.9882105,128.1010932,1,4
갈졸참나무,37.41875,127.3733889,1,5
갈졸참나무,37.50523889,127.2458861,1,6
갈졸참나무,37.96538889,124.7195281,1,7
갈참나무,34.32333333,126.9836111,1,8
갈참나무,34.35805556,126.6858333,1,9
갈참나무,34.51123611,126.3338111,1,10
갈참나무,34.51626667,127.4255917,1,11
갈참나무,34.52121944,126.3209972,1,12
갈참나무,34.52208611,126.464375,1,13
갈참나무,34.54386389,126.2960583,1,14
갈참나무,34.5579,127.2608778,1,15
갈참나무,34.56361111,127.2388889,1,16
갈참나무,34.60597778,126.5928611,1,17
갈참나무,34.60715,126.8605167,1,18
갈참나무,34.61416667,126.8380556,1,19
갈참나무,34.63,127.3319444,1,20
갈참나무,34.63648889,128.2887889,1,21
갈참나무,34.64046667,126.95695,1,22
갈참나무,34.68045556,127.7732139,1,23
갈참나무,34.69168333,127.0130167,1,24
갈참나무,34.69527778,127.4366667,1,25
갈참나무,34.71821111,128.0085139,1,26
갈참나무,34.72361111,127.1952778,1,27
갈참나무,34.76392778,127.377125,2,28
갈참나무,34.77486111,127.0183611,1,29
갈참나무,34.79879722,127.3073806,1,30
갈참나무,34.80080556,127.1806778,1,31
갈참나무,34.80211389,127.177825,1,32
갈참나무,34.81271944,127.6048833,1,33
갈참나무,34.81541111,127.6003889,1,34
갈참나무,34.81706667,127.6915194,2,35
갈참나무,34.82138889,127.6987972,1,36
갈참나무,34.83886111,126.0964167,1,37
갈참나무,34.84446389,128.0221444,1,38
갈참나무,34.84555278,126.2659167,1,39
갈참나무,34.86878889,128.0028028,2,40
갈참나무,34.87002778,126.9031111,1,41
갈참나무,34.87125,126.8172222,1,42
갈참나무,34.87280556,126.853,1,43
갈참나무,34.89025,126.0445,1,44
갈참나무,34.90409444,126.5284306,1,45
갈참나무,34.90411111,126.9086667,1,46
갈참나무,34.90866667,126.9128611,1,47
갈참나무,34.92522222,127.0975556,1,48
갈참나무,34.92670278,127.6391167,1,49
갈참나무,34.94318889,127.6471944,1,50
갈참나무,34.95473333,127.3215917,1,51
갈참나무,34.95708056,127.4508417,1,52
갈참나무,34.96469722,128.1075917,1,53
갈참나무,34.96931667,128.1002167,1,54
갈참나무,34.97530556,127.5117861,1,55
갈참나무,34.99075,127.8529194,1,56
갈참나무,34.99529444,127.8645333,1,57
갈참나무,34.99813611,128.0904694,1,58
갈참나무,35.00950556,126.8707444,1,59
갈참나무,35.01109167,126.8669278,1,60
갈참나무,35.01111944,126.8386194,1,61
갈참나무,35.01332778,126.8578611,1,62
갈참나무,35.04263889,126.4676667,1,63
갈참나무,35.09691667,128.17125,1,64
갈참나무,35.16947222,127.34725,1,65
갈참나무,35.17002778,127.1485556,1,66
갈참나무,35.18111111,128.3958333,1,67
갈참나무,35.18777778,126.5575,1,68
갈참나무,35.19361111,126.5547222,1,69
갈참나무,35.19638889,128.4136111,1,70
갈참나무,35.19694444,126.5680556,1,71
갈참나무,35.19722222,126.5525,1,72
갈참나무,35.2025,128.41625,1,73
갈참나무,35.24347222,127.7502778,1,74
갈참나무,35.26578333,127.3453167,1,75
갈참나무,35.27241111,128.9100028,1,76
갈참나무,35.27333333,126.6086111,1,77
갈참나무,35.28011667,127.2175333,1,78
갈참나무,35.29548889,126.6858722,1,79
갈참나무,35.30833333,128.2275,2,80
갈참나무,35.32010556,129.1324778,1,81
갈참나무,35.36736111,126.7268611,1,82
갈참나무,35.38750556,126.410275,1,83
갈참나무,35.39611111,128.48525,1,84
갈참나무,35.40081944,129.1373028,1,85
갈참나무,35.41586111,127.9647219,1,86
갈참나무,35.420503,128.440988,1,87
갈참나무,35.42578333,126.4812,1,88
갈참나무,35.44993333,127.5899833,1,89
갈참나무,35.45618333,127.639,1,90
갈참나무,35.46155306,128.3219919,1,91
갈참나무,35.46305556,128.5388889,1,92
갈참나무,35.46666667,128.575,1,93
갈참나무,35.47311111,128.2929969,1,94
갈참나무,35.49166694,128.3,1,95
갈참나무,35.5028,129.0768831,1,96
갈참나무,35.52480306,128.2128389,1,97
갈참나무,35.53974611,128.3054239,1,98
갈참나무,35.54355556,127.5738,1,99
갈참나무,35.56527778,127.2816667,1,100
갈참나무,35.57440611,128.8226689,1,101
갈참나무,35.57464194,127.8547169,1,102
갈참나무,35.578075,128.7322581,1,103
갈참나무,35.583025,127.8165169,1,104
갈참나무,35.58686111,128.3463331,1,105
갈참나무,35.59576389,127.9256189,1,106
갈참나무,35.60888889,126.7977778,1,107
갈참나무,35.61317194,129.2583581,1,108
갈참나무,35.63870611,129.1109169,1,109
갈참나무,35.64075,128.3304439,1,110
갈참나무,35.64091111,128.3280811,2,111
갈참나무,35.64972194,128.9688889,1,112
갈참나무,35.67033306,128.0543331,1,113
갈참나무,35.68735611,127.784425,1,114
갈참나무,35.69759,128.7745281,1,115
갈참나무,35.71425611,127.7059031,1,116
갈참나무,35.71522194,127.9625831,1,117
갈참나무,35.73476389,128.6481111,1,118
갈참나무,35.74308611,128.1921639,1,119
갈참나무,35.76166667,129.1525,1,120
갈참나무,35.76377806,128.1880281,1,121
갈참나무,35.7686,128.7886667,1,122
갈참나무,35.79993333,128.6985028,2,123
갈참나무,35.820984,129.034234,1,124
갈참나무,35.82547778,126.4545778,1,125
갈참나무,35.82579444,128.87465,1,126
갈참나무,35.82635,128.8582833,1,127
갈참나무,35.85833306,128.1222219,1,128
갈참나무,35.89073611,129.4163361,1,129
갈참나무,35.99166667,127.0911111,2,130
갈참나무,35.99666667,127.0911111,1,131
갈참나무,36.01513889,127.1508611,1,132
갈참나무,36.01722222,127.0408333,1,133
갈참나무,36.03888889,127.0444444,1,134
갈참나무,36.03944444,127.3613889,1,135
갈참나무,36.04572778,127.3294583,1,136
갈참나무,36.049063,127.533632,1,137
갈참나무,36.05694444,126.8777778,1,138
갈참나무,36.05722222,127.8728056,1,139
갈참나무,36.06229167,127.6856944,1,140
갈참나무,36.06735,127.6982111,1,141
갈참나무,36.07711111,127.80075,1,142
갈참나무,36.07722222,127.4613889,1,143
갈참나무,36.08027778,128.0184167,1,144
갈참나무,36.08991667,128.0235556,1,145
갈참나무,36.09027778,126.9055556,1,146
갈참나무,36.125145,128.370093,1,147
갈참나무,36.125462,128.351575,1,148
갈참나무,36.14155556,128.1009444,1,149
갈참나무,36.15495,126.8496222,1,150
갈참나무,36.15513889,127.8872778,1,151
갈참나무,36.16165556,128.975675,1,152
갈참나무,36.16716667,128.0619722,1,153
갈참나무,36.18672222,128.0837222,1,154
갈참나무,36.19066667,128.0864167,1,155
갈참나무,36.19119444,128.08675,1,156
갈참나무,36.19513889,127.8611111,1,157
갈참나무,36.1965,127.8611389,1,158
갈참나무,36.19825,127.8421944,1,159
갈참나무,36.19888889,127.44,1,160
갈참나무,36.20113889,127.8558889,1,161
갈참나무,36.20413889,127.83925,1,162
갈참나무,36.20425,127.8435,1,163
갈참나무,36.20455556,127.8392222,1,164
갈참나무,36.205836,128.202786,1,165
갈참나무,36.20986111,126.9445556,1,166
갈참나무,36.21555556,127.3716667,1,167
갈참나무,36.21911111,127.2446944,1,168
갈참나무,36.22277778,126.6283333,1,169
갈참나무,36.22341944,126.0725944,1,170
갈참나무,36.22861111,127.35,1,171
갈참나무,36.23027778,126.6211111,1,172
갈참나무,36.23047222,127.6007222,1,173
갈참나무,36.23466667,127.5607222,1,174
갈참나무,36.235292,128.451932,1,175
갈참나무,36.23630556,127.7813333,1,176
갈참나무,36.23672222,127.0101111,1,177
갈참나무,36.23980556,127.98,1,178
갈참나무,36.24316667,128.1425833,1,179
갈참나무,36.255806,128.295467,1,180
갈참나무,36.2575,128.5994444,1,181
갈참나무,36.27472222,126.6027778,1,182
갈참나무,36.28536111,126.9605278,1,183
갈참나무,36.29361111,127.2177778,1,184
갈참나무,36.29611111,127.2088889,1,185
갈참나무,36.30472222,128.3897222,1,186
갈참나무,36.30836667,126.7812444,1,187
갈참나무,36.31,127.205,2,188
갈참나무,36.31369444,129.1080833,1,189
갈참나무,36.31583333,127.2769444,1,190
갈참나무,36.32873611,126.3607528,1,191
갈참나무,36.34567222,126.3523889,2,192
갈참나무,36.34916667,127.0644722,1,193
갈참나무,36.36026944,126.4516806,1,194
갈참나무,36.36049167,126.4517306,1,195
갈참나무,36.40663889,127.6924444,1,196
갈참나무,36.40727778,127.22275,1,197
갈참나무,36.41002778,127.7168333,1,198
갈참나무,36.41163889,126.6133781,1,199
갈참나무,36.42221111,126.6107811,1,200
갈참나무,36.42330556,126.9084444,1,201
갈참나무,36.42852778,126.8104722,1,202
갈참나무,36.44358333,127.0066944,1,203
갈참나무,36.44455611,126.3391939,1,204
갈참나무,36.44469167,128.5612028,1,205
갈참나무,36.45611111,127.5893611,1,206
갈참나무,36.45791111,126.6656528,1,207
갈참나무,36.45863889,127.5468333,1,208
갈참나무,36.47894444,127.6728889,1,209
갈참나무,36.48408306,126.4839439,1,210
갈참나무,36.48833333,128.3605556,1,211
갈참나무,36.50869444,128.7687778,1,212
갈참나무,36.51952778,129.0464444,1,213
갈참나무,36.52636389,126.9076781,1,214
갈참나무,36.52790806,126.9139781,1,215
갈참나무,36.53019389,126.6153331,1,216
갈참나무,36.53027806,126.6174439,1,217
갈참나무,36.53036111,126.6159169,1,218
갈참나무,36.55447194,127.1591669,1,219
갈참나무,36.57007194,127.0711189,1,220
갈참나무,36.58546889,126.7699139,1,221
갈참나무,36.60444444,129.3711111,1,222
갈참나무,36.655357,128.088638,1,223
갈참나무,36.68766111,127.2428169,1,224
갈참나무,36.696819,128.145538,1,225
갈참나무,36.70313889,126.858125,1,226
갈참나무,36.71133306,126.4089439,1,227
갈참나무,36.73380556,129.2014861,1,228
갈참나무,36.73645806,127.0117781,1,229
갈참나무,36.73671389,126.2341081,1,230
갈참나무,36.76749389,126.6037311,1,231
갈참나무,36.78681111,126.400675,1,232
갈참나무,36.81606111,127.7036222,1,233
갈참나무,36.825,128.525,1,234
갈참나무,36.83152222,127.5618278,1,235
갈참나무,36.83408889,127.6812833,1,236
갈참나무,36.83455611,127.1937219,1,237
갈참나무,36.84166694,126.7666669,1,238
갈참나무,36.84701694,127.3502581,1,239
갈참나무,36.85,126.6275,1,240
갈참나무,36.85,128.6833331,1,241
갈참나무,36.86458306,129.3986831,1,242
갈참나무,36.86729389,127.3443219,1,243
갈참나무,36.86833611,127.2387861,1,244
갈참나무,36.87096694,129.3992469,1,245
갈참나무,36.87436111,127.1031939,1,246
갈참나무,36.88408306,126.1861939,1,247
갈참나무,36.88622194,126.7825,1,248
갈참나무,36.89291694,127.0778889,3,249
갈참나무,36.89783306,127.2280561,2,250
갈참나무,36.91770306,128.5652281,1,251
갈참나무,36.91845806,127.2898031,1,252
갈참나무,36.943,126.7373331,1,253
갈참나무,36.94370611,126.5633311,2,254
갈참나무,36.9633,129.3854831,1,255
갈참나무,36.96482194,127.3112081,2,256
갈참나무,37.011895,127.402298,1,257
갈참나무,37.012128,127.396066,1,258
갈참나무,37.026494,127.395256,1,259
갈참나무,37.03971389,128.4621861,1,260
갈참나무,37.04547222,127.5618056,1,261
갈참나무,37.04721944,127.7359861,2,262
갈참나무,37.050858,127.575029,1,263
갈참나무,37.05279444,127.1857944,1,264
갈참나무,37.060066,127.578123,1,265
갈참나무,37.06186111,127.7940556,1,266
갈참나무,37.06333611,126.9321778,1,267
갈참나무,37.06844444,127.5705278,1,268
갈참나무,37.06923889,128.3680806,1,269
갈참나무,37.07068889,127.3444472,1,270
갈참나무,37.07105556,127.7832778,3,271
갈참나무,37.07109,127.574171,1,272
갈참나무,37.07116667,127.5732222,1,273
갈참나무,37.07226333,127.6943014,1,274
갈참나무,37.07377222,127.101,1,275
갈참나무,37.07707667,127.7203367,2,276
갈참나무,37.07719444,127.7485556,2,277
갈참나무,37.07781222,127.7203975,3,278
갈참나무,37.08686111,127.6778056,1,279
갈참나무,37.08907222,128.6038389,1,280
갈참나무,37.09080556,129.1503333,1,281
갈참나무,37.09288889,127.6707778,3,282
갈참나무,37.09385278,126.8198417,1,283
갈참나무,37.09416667,129.0223611,1,284
갈참나무,37.09651667,128.4452194,1,285
갈참나무,37.09954444,128.6824111,1,286
