,nearby_idx_1,nearby_idx_2,nearby_idx_3,nearby_idx_4,nearby_idx_5,nearby_idx_6,nearby_idx_7,nearby_idx_8,nearby_idx_9,nearby_idx_10,nearby_idx_11,nearby_idx_12,nearby_idx_13,nearby_idx_14,nearby_idx_15,nearby_idx_16,nearby_idx_17,nearby_idx_18,nearby_idx_19,nearby_idx_20,nearby_idx_21,nearby_idx_22,nearby_idx_23,nearby_idx_24,nearby_idx_25,nearby_idx_26,nearby_idx_27,nearby_idx_28
0,1077.0,781.0,406.0,1.0,1158.0,161.0,21.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,324.0,80.0,82.0,371.0,599.0,768.0,785.0,1100.0,1104.0,1105.0,1106.0,1115.0,1119.0,1148.0,555.0,1015.0,469.0,1156.0,164.0,271.0,497.0,,,,,,,
3,79.0,210.0,218.0,418.0,135.0,591.0,547.0,546.0,101.0,14.0,,,,,,,,,,,,,,,,,,
4,1077.0,781.0,406.0,1158.0,161.0,21.0,,,,,,,,,,,,,,,,,,,,,,
5,951.0,463.0,293.0,196.0,1000.0,16.0,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12.0,69.0,139.0,317.0,683.0,758.0,496.0,649.0,1080.0,13.0,,,,,,,,,,,,,,,,,,
8,236.0,240.0,654.0,942.0,111.0,109.0,347.0,30.0,874.0,,,,,,,,,,,,,,,,,,,
9,950.0,1067.0,972.0,197.0,209.0,,,,,,,,,,,,,,,,,,,,,,,
10,54.0,50.0,20.0,1062.0,25.0,690.0,521.0,571.0,408.0,407.0,310.0,552.0,350.0,61.0,587.0,375.0,721.0,593.0,609.0,610.0,529.0,804.0,88.0,335.0,573.0,,,
11,180.0,26.0,45.0,205.0,230.0,213.0,681.0,679.0,262.0,29.0,,,,,,,,,,,,,,,,,,
12,1123.0,1122.0,69.0,139.0,317.0,7.0,683.0,758.0,1080.0,13.0,,,,,,,,,,,,,,,,,,
13,12.0,69.0,139.0,317.0,7.0,683.0,758.0,496.0,649.0,1080.0,,,,,,,,,,,,,,,,,,
14,79.0,210.0,218.0,418.0,135.0,591.0,547.0,546.0,101.0,3.0,,,,,,,,,,,,,,,,,,
15,364.0,328.0,429.0,423.0,220.0,186.0,247.0,884.0,,,,,,,,,,,,,,,,,,,,
16,951.0,463.0,293.0,196.0,5.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
17,319.0,1003.0,130.0,611.0,964.0,,,,,,,,,,,,,,,,,,,,,,,
18,99.0,639.0,43.0,1090.0,,,,,,,,,,,,,,,,,,,,,,,,
19,816.0,183.0,294.0,295.0,426.0,830.0,840.0,986.0,867.0,315.0,,,,,,,,,,,,,,,,,,
20,10.0,54.0,50.0,1062.0,25.0,690.0,521.0,571.0,408.0,407.0,310.0,552.0,350.0,61.0,587.0,375.0,721.0,593.0,609.0,610.0,529.0,804.0,88.0,335.0,573.0,,,
21,1077.0,781.0,406.0,1158.0,161.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,
22,566.0,565.0,564.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,259.0,113.0,1110.0,169.0,440.0,685.0,720.0,90.0,696.0,732.0,760.0,,,,,,,,,,,,,,,,,
24,264.0,395.0,62.0,411.0,480.0,607.0,531.0,569.0,459.0,503.0,505.0,635.0,41.0,42.0,93.0,94.0,542.0,868.0,,,,,,,,,,
25,10.0,753.0,558.0,568.0,54.0,102.0,50.0,20.0,1062.0,690.0,521.0,571.0,408.0,407.0,310.0,552.0,350.0,61.0,587.0,375.0,721.0,593.0,609.0,610.0,529.0,804.0,88.0,573.0
26,11.0,180.0,660.0,847.0,1040.0,45.0,205.0,230.0,213.0,681.0,121.0,679.0,262.0,29.0,,,,,,,,,,,,,,
27,1112.0,140.0,174.0,546.0,101.0,,,,,,,,,,,,,,,,,,,,,,,
28,753.0,558.0,568.0,102.0,794.0,309.0,466.0,299.0,266.0,298.0,520.0,134.0,1124.0,,,,,,,,,,,,,,,
29,11.0,180.0,26.0,45.0,205.0,230.0,213.0,681.0,679.0,262.0,,,,,,,,,,,,,,,,,,
30,845.0,827.0,384.0,386.0,385.0,236.0,240.0,654.0,881.0,942.0,8.0,347.0,949.0,239.0,,,,,,,,,,,,,,
31,73.0,46.0,149.0,202.0,203.0,403.0,439.0,716.0,744.0,815.0,919.0,920.0,939.0,940.0,,,,,,,,,,,,,,
32,116.0,123.0,991.0,1055.0,65.0,89.0,74.0,,,,,,,,,,,,,,,,,,,,,
33,107.0,154.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,417.0,224.0,1143.0,137.0,35.0,,,,,,,,,,,,,,,,,,,,,,,
35,417.0,224.0,1143.0,137.0,34.0,,,,,,,,,,,,,,,,,,,,,,,
36,776.0,894.0,766.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,718.0,912.0,705.0,898.0,925.0,924.0,48.0,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1125.0,1007.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,264.0,395.0,62.0,411.0,480.0,607.0,531.0,569.0,459.0,503.0,505.0,635.0,24.0,42.0,93.0,94.0,542.0,868.0,,,,,,,,,,
42,264.0,395.0,62.0,411.0,480.0,607.0,531.0,569.0,459.0,503.0,505.0,635.0,24.0,41.0,93.0,94.0,542.0,868.0,,,,,,,,,,
43,99.0,639.0,18.0,1090.0,,,,,,,,,,,,,,,,,,,,,,,,
44,913.0,514.0,946.0,57.0,58.0,133.0,200.0,413.0,1073.0,,,,,,,,,,,,,,,,,,,
45,11.0,180.0,660.0,847.0,1040.0,26.0,205.0,230.0,213.0,681.0,121.0,679.0,262.0,29.0,,,,,,,,,,,,,,
46,73.0,149.0,31.0,202.0,203.0,403.0,439.0,716.0,744.0,815.0,919.0,920.0,939.0,940.0,,,,,,,,,,,,,,
47,930.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,718.0,912.0,705.0,898.0,925.0,37.0,924.0,,,,,,,,,,,,,,,,,,,,,
49,401.0,314.0,345.0,492.0,103.0,158.0,1075.0,,,,,,,,,,,,,,,,,,,,,
50,10.0,54.0,20.0,1062.0,25.0,690.0,521.0,571.0,408.0,407.0,310.0,552.0,350.0,61.0,587.0,375.0,721.0,593.0,609.0,610.0,529.0,804.0,88.0,335.0,573.0,,,
51,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,671.0,644.0,658.0,676.0,,,,,,,,,,,,,,,,,,,,,,,,
53,377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,10.0,50.0,20.0,1062.0,25.0,690.0,521.0,571.0,408.0,407.0,310.0,552.0,350.0,61.0,587.0,375.0,721.0,593.0,609.0,610.0,529.0,804.0,88.0,335.0,573.0,,,
55,170.0,255.0,265.0,595.0,619.0,673.0,,,,,,,,,,,,,,,,,,,,,,
56,184.0,189.0,726.0,,,,,,,,,,,,,,,,,,,,,,,,,
57,913.0,514.0,946.0,44.0,58.0,133.0,200.0,413.0,1073.0,,,,,,,,,,,,,,,,,,,
58,913.0,514.0,946.0,44.0,57.0,133.0,200.0,413.0,1073.0,,,,,,,,,,,,,,,,,,,
59,541.0,899.0,273.0,765.0,,,,,,,,,,,,,,,,,,,,,,,,
60,929.0,973.0,254.0,253.0,935.0,95.0,799.0,1002.0,1099.0,,,,,,,,,,,,,,,,,,,
61,10.0,753.0,558.0,568.0,54.0,102.0,50.0,20.0,1062.0,25.0,690.0,521.0,571.0,408.0,407.0,310.0,552.0,350.0,587.0,375.0,721.0,593.0,609.0,610.0,529.0,804.0,88.0,573.0
62,264.0,395.0,411.0,480.0,607.0,531.0,569.0,459.0,503.0,505.0,635.0,24.0,41.0,42.0,93.0,94.0,542.0,868.0,,,,,,,,,,
63,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,333.0,170.0,255.0,91.0,572.0,1004.0,,,,,,,,,,,,,,,,,,,,,,
65,116.0,123.0,32.0,991.0,1055.0,89.0,74.0,,,,,,,,,,,,,,,,,,,,,
66,126.0,136.0,367.0,802.0,334.0,,,,,,,,,,,,,,,,,,,,,,,
67,456.0,470.0,983.0,984.0,,,,,,,,,,,,,,,,,,,,,,,,
68,285.0,623.0,206.0,901.0,,,,,,,,,,,,,,,,,,,,,,,,
69,12.0,139.0,317.0,7.0,683.0,758.0,496.0,649.0,1080.0,13.0,,,,,,,,,,,,,,,,,,
70,142.0,837.0,361.0,846.0,672.0,689.0,954.0,1047.0,,,,,,,,,,,,,,,,,,,,
71,586.0,882.0,226.0,357.0,669.0,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
