,nearby_idx_1,nearby_idx_2,nearby_idx_3,nearby_idx_4,nearby_idx_5
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,16.0,,,,
5,6.0,22.0,,,
6,5.0,22.0,,,
7,,,,,
8,96.0,,,,
9,64.0,75.0,82.0,,
10,18.0,,,,
11,148.0,,,,
12,21.0,,,,
13,,,,,
14,,,,,
15,103.0,34.0,119.0,,
16,4.0,,,,
17,104.0,77.0,76.0,,
18,10.0,,,,
19,,,,,
20,26.0,,,,
21,12.0,,,,
22,5.0,6.0,,,
23,106.0,99.0,44.0,,
24,32.0,,,,
25,80.0,68.0,67.0,,
26,20.0,,,,
27,,,,,
28,,,,,
29,31.0,30.0,,,
30,31.0,29.0,,,
31,30.0,29.0,,,
32,90.0,24.0,,,
33,,,,,
34,103.0,15.0,119.0,,
35,,,,,
36,148.0,149.0,,,
37,126.0,,,,
38,102.0,39.0,,,
39,102.0,38.0,,,
40,,,,,
41,,,,,
42,,,,,
43,133.0,,,,
44,106.0,23.0,99.0,,
45,78.0,,,,
46,,,,,
47,,,,,
48,49.0,,,,
49,48.0,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,55.0,56.0,,,
55,54.0,56.0,,,
56,54.0,55.0,,,
57,,,,,
58,,,,,
59,102.0,101.0,132.0,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,9.0,75.0,82.0,,
65,89.0,91.0,,,
66,,,,,
67,25.0,80.0,68.0,,
68,25.0,80.0,67.0,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,9.0,64.0,82.0,,
76,104.0,77.0,17.0,,
77,104.0,76.0,17.0,,
78,45.0,,,,
79,,,,,
80,25.0,68.0,67.0,,
81,,,,,
82,9.0,64.0,75.0,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,88.0,,,,
88,87.0,,,,
89,65.0,91.0,,,
90,32.0,,,,
91,65.0,89.0,,,
92,,,,,
93,147.0,,,,
94,,,,,
95,,,,,
96,8.0,,,,
97,,,,,
98,,,,,
99,106.0,23.0,44.0,,
100,105.0,,,,
101,102.0,59.0,132.0,,
102,101.0,38.0,39.0,59.0,132.0
103,15.0,34.0,119.0,,
104,77.0,76.0,17.0,,
105,100.0,,,,
106,23.0,99.0,44.0,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,149.0,154.0,155.0,,
117,,,,,
118,,,,,
119,103.0,15.0,34.0,,
120,142.0,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,37.0,,,,
127,,,,,
128,129.0,135.0,,,
129,128.0,135.0,,,
130,,,,,
131,,,,,
132,102.0,101.0,59.0,,
133,43.0,,,,
134,,,,,
135,128.0,129.0,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,120.0,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,93.0,,,,
148,11.0,36.0,,,
149,116.0,36.0,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,116.0,155.0,,,
155,116.0,154.0,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
