index,Latitude,Longitude,nearby_idx_1,nearby_idx_2,nearby_idx_3,nearby_idx_4,nearby_idx_5
0,36.1533392,128.6041672,,,,,
1,37.4679821,128.7981629,,,,,
2,36.3371588,127.8960781,,,,,
3,37.1712746,128.9669333,,,,,
4,36.7551344,128.1698493,16.0,,,,
5,35.6789038,129.4305092,6.0,22.0,,,
6,35.6789038,129.4305092,5.0,22.0,,,
7,37.9018596,126.8377851,,,,,
8,37.178741,127.5891868,96.0,,,,
9,36.605193,128.2073429,64.0,75.0,82.0,,
10,35.3241616,128.4270594,18.0,,,,
11,37.146709,129.0483328,148.0,,,,
12,37.8496926,126.9644347,21.0,,,,
13,35.9213983,129.1566704,,,,,
14,36.4328334,128.0152246,,,,,
15,35.433975,127.6260086,103.0,34.0,119.0,,
16,36.7325426,128.1554979,4.0,,,,
17,35.2480059,126.9756866,104.0,77.0,76.0,,
18,35.3608443,128.4593874,10.0,,,,
19,35.2164841,126.5568892,,,,,
20,37.2140877,129.3262249,26.0,,,,
21,37.8708318,126.9915122,12.0,,,,
22,35.6618261,129.4303147,5.0,6.0,,,
23,35.0389006,126.9988465,106.0,99.0,44.0,,
24,37.7072744,128.9161633,32.0,,,,
25,37.4392596,129.1784042,80.0,68.0,67.0,,
26,37.2140877,129.3262249,20.0,,,,
27,37.2340491,129.1662579,,,,,
28,37.3608544,129.1989029,,,,,
29,37.5847694,128.6407562,31.0,30.0,,,
30,37.5847694,128.6407562,31.0,29.0,,,
31,37.5847694,128.6407562,30.0,29.0,,,
32,37.7376414,128.875436,90.0,24.0,,,
33,36.8072658,127.4319402,,,,,
34,35.4196814,127.6117698,103.0,15.0,119.0,,
35,36.3085008,128.2774354,,,,,
36,37.2132563,129.0268626,148.0,149.0,,,
37,38.1002164,127.749467,126.0,,,,
38,35.5640875,127.2965426,102.0,39.0,,,
39,35.5640875,127.2965426,102.0,38.0,,,
40,36.139544,127.7420999,,,,,
41,36.8494311,127.6500498,,,,,
42,35.4993716,128.3894438,,,,,
43,35.7511633,128.6213796,133.0,,,,
44,34.9916145,126.9880128,106.0,23.0,99.0,,
45,36.8120935,128.6416647,78.0,,,,
46,36.8929232,127.573778,,,,,
47,35.9489306,129.4207583,,,,,
48,36.4483495,128.3463791,49.0,,,,
49,36.474209,128.362204,48.0,,,,
50,37.6671652,127.967412,,,,,
51,36.428639,127.8227737,,,,,
52,35.5520282,127.7022051,,,,,
53,36.4964149,127.1175656,,,,,
54,36.4345714,126.8771037,55.0,56.0,,,
55,36.4345714,126.8771037,54.0,56.0,,,
56,36.4345714,126.8771037,54.0,55.0,,,
57,36.5938136,128.5571271,,,,,
58,35.0436072,127.112621,,,,,
59,35.6305091,127.3303778,102.0,101.0,132.0,,
60,37.4493679,127.1022852,,,,,
61,35.4931652,127.2389306,,,,,
62,35.5798635,127.1981911,,,,,
63,37.3293308,126.918427,,,,,
64,36.6389298,128.2201196,9.0,75.0,82.0,,
65,36.6839838,126.5831038,89.0,91.0,,,
66,35.3363846,127.9217038,,,,,
67,37.4531546,129.1559572,25.0,80.0,68.0,,
68,37.4579607,129.1460745,25.0,80.0,67.0,,
69,37.6506105,126.8479415,,,,,
70,36.29654,126.8670582,,,,,
71,36.9395457,127.997495,,,,,
72,36.0675456,128.2714806,,,,,
73,35.1077764,127.2000409,,,,,
74,38.2355632,127.9878123,,,,,
75,36.6389298,128.2201196,9.0,64.0,82.0,,
76,35.200009,126.9515173,104.0,77.0,17.0,,
77,35.200009,126.9515173,104.0,76.0,17.0,,
78,36.8308912,128.6942083,45.0,,,,
79,35.6634688,128.4027436,,,,,
80,37.4358164,129.1399179,25.0,68.0,67.0,,
81,36.955982,127.6337621,,,,,
82,36.6389298,128.2201196,9.0,64.0,75.0,,
83,36.5789495,128.7192854,,,,,
84,35.2495331,127.1779403,,,,,
85,34.8780837,126.9078796,,,,,
86,36.527337,128.1444098,,,,,
87,35.6192242,127.248168,88.0,,,,
88,35.6192242,127.248168,87.0,,,,
89,36.6839838,126.5831038,65.0,91.0,,,
90,37.7016228,128.8379164,32.0,,,,
91,36.6839838,126.5831038,65.0,89.0,,,
92,37.3910274,128.9927715,,,,,
93,36.2348288,128.5647509,147.0,,,,
94,37.8315284,128.8219993,,,,,
95,37.3737093,128.0116955,,,,,
96,37.178741,127.5891868,8.0,,,,
97,35.7072023,127.9379667,,,,,
98,37.5379354,129.0927233,,,,,
99,34.9916145,126.9880128,106.0,23.0,44.0,,
100,33.4790176,126.3976001,105.0,,,,
101,35.6128908,127.3454045,102.0,59.0,132.0,,
102,35.5990812,127.314855,101.0,38.0,39.0,59.0,132.0
103,35.433975,127.6260086,15.0,34.0,119.0,,
104,35.2480059,126.9756866,77.0,76.0,17.0,,
105,33.4778131,126.4518312,100.0,,,,
106,35.0389006,126.9988465,23.0,99.0,44.0,,
107,37.1519766,129.2868795,,,,,
108,33.4242628,126.4714854,,,,,
109,37.6110372,128.0775996,,,,,
110,37.4945468,127.4887109,,,,,
111,37.429998,128.5534602,,,,,
112,35.9159246,126.6388464,,,,,
113,37.9307358,127.0322857,,,,,
114,37.5126288,126.7989122,,,,,
115,36.9836032,128.468242,,,,,
116,37.2672498,128.9539575,154.0,155.0,,,
117,37.2761431,128.4221375,,,,,
118,35.5363475,126.8081715,,,,,
119,35.4196814,127.6117698,103.0,15.0,34.0,,
120,35.9429234,128.9490738,142.0,,,,
