ID,Nearby_IDs
1,"[8309, 3732, 6175, 8310, 540, 8265, 2353, 7341, 7762, 7424, 1234, 2355, 3237, 7343, 5341, 7763, 3746, 2, 8642, 2780, 8266, 3819, 3735, 4633, 3733]"
2,"[8309, 3732, 6175, 8310, 540, 8265, 1, 2353, 7341, 7762, 7424, 1234, 2355, 3237, 7343, 5341, 7763, 3746, 8642, 2780, 8266, 3819, 3735, 4633, 3733]"
3,"[495, 4112, 5508, 3494, 8766, 224, 3495, 4998, 3476, 909, 1627, 893, 8444, 7563, 5862, 2117, 4565, 8765, 6908, 7396, 8022, 8033, 8763, 2962, 2509, 4113, 7319, 4973, 217]"
4,"[4608, 6709, 8293, 8916, 3780]"
5,"[6836, 8415, 4912, 7971, 177, 6862, 841, 6866, 3734, 3426, 2368, 4030, 2462, 8416, 6837, 3404, 8417, 7960, 1567, 8751, 827, 6844, 2465, 167, 2066, 2929, 2068, 484, 4042, 837, 2073, 6374, 6850, 2467, 5774, 5480, 6376, 172, 2468, 7967, 3411, 3412, 7540, 4905, 6853, 5769, 6861, 4911, 3414, 1298, 1580, 3418, 4915, 3428]"
6,"[1591, 2088, 2484, 3438, 4062, 5796, 6876, 582, 854, 2485, 4934, 1592, 4061, 2089, 4935, 852, 2483, 5493, 2092, 8906, 205, 2486, 2488, 5799, 6878, 3441, 5810, 6873, 584, 2098, 1601, 202, 5495, 199, 861, 3450, 862, 2492, 4074, 3467, 4066, 5805, 1622, 5797, 2961, 2094, 7557, 5803, 2504, 4085, 8436, 5830, 4941, 855, 1617, 6397, 881, 4945, 1590, 6882, 2503, 859, 2113, 494, 3439, 884, 2090]"
7,"[7073, 2612, 5186, 8506, 8137, 7273, 3631, 2240, 4279, 1786, 3071]"
8,"[1229, 1228, 2768, 8625, 9, 3785, 8294, 2763, 2764, 8919, 5636, 436, 1455, 7742, 7741, 4611, 3224, 8898, 6158, 3223, 5637, 7414, 1456, 8295, 5330, 7416, 2769, 5328, 8920, 6159, 3788, 8921, 7417, 4612, 3225, 6161, 3786, 3226, 6712, 7240, 6711, 5329, 7415, 7337, 6160, 3787]"
9,"[1229, 1228, 2768, 8625, 8, 3785, 8294, 2763, 2764, 8919, 5636, 436, 1455, 7742, 7741, 4611, 3224, 8898, 6158, 3223, 5637, 7414, 1456, 8295, 2769, 5328, 8921, 4612, 6712, 7240, 5329, 7415, 7337, 6160, 3787]"
10,"[6164, 7419, 2771, 7745, 4462, 3227, 8627, 3794, 2378, 4613, 3795, 7746, 1929, 5333, 8299]"
11,"[7747, 8628, 3743, 3796, 3744, 8629, 8300, 4615, 2773, 1231, 2774, 2380, 6713, 2379, 1457, 3797, 5334, 7338, 4614, 6166, 5638, 7748]"
12,"[8298, 3794, 4613, 2772, 6165, 3795, 7746, 1929, 5333, 8299, 2382, 3178, 4463, 5335, 3228, 7421]"
13,"[7420, 8924, 8926, 6168, 438, 5336, 3798, 7750, 8632, 735, 2385, 3229, 7751, 7752, 1931, 3799, 5337, 736, 3230, 3231, 4617, 3800, 1932, 8634, 2775, 5338, 7753, 4618, 4620, 7755, 738, 7339, 5640, 3803, 3232, 3801, 1934, 1933, 2778, 3233, 3816, 7761, 740, 5339, 6714, 6173, 7241, 2389, 8929, 5641, 4466, 4631, 1937, 2779, 3235, 4630, 5340, 8640, 1233, 7425, 8638]"
14,"[8305, 8928, 7423, 4632, 7426, 8930, 8312]"
15,"[6715, 7340, 4634, 440, 8313, 8639, 2781, 1938, 2765, 5642, 7427, 1235, 5342, 4601, 8899, 3236, 7302, 8931, 2354, 6176]"
16,"[2784, 8314, 6180, 1939, 3823, 3820, 6177, 6179, 7765, 5345, 4637, 3241, 3240]"
17,"[1213, 3822, 2391, 3239, 1236, 2782, 4467, 4636, 7764, 8268, 1940, 8643]"
18,"[4635, 3243, 3242, 4639, 3825, 7429, 6184, 5643, 8316, 8315, 5644, 4641, 6185, 6716, 7428, 1459]"
19,"[24, 5647, 3246, 21, 3828, 4471, 5350, 6186, 7430, 4468]"
20,"[3243, 2785, 5348, 7429, 8316, 1461, 5644, 23, 2789, 1942, 4641, 4644, 4645, 8646, 6185, 6717, 5650]"
21,"[24, 5647, 3246, 3828, 4471, 5350, 6186, 7430, 8652, 4468, 19]"
22,"[1944, 26, 1462, 2791, 3247, 3833, 4648, 2786, 8320, 7431, 8649, 1460, 5646, 8645, 3832, 5648, 1941, 5352, 7767]"
23,"[2785, 5348, 20, 1461, 2789, 1942, 4644, 4645, 8646, 6717, 5650]"
24,"[5647, 3246, 21, 3828, 4471, 5350, 6186, 7430, 8652, 4468, 19]"
25,"[1943, 5355, 2790, 4472, 3245, 8647, 7770, 7350, 7432, 2393, 4646, 3831, 8322, 8936, 6189, 741, 4473, 7772, 8650, 3248, 4650, 3835, 2394, 3251, 5651, 8653, 7774, 5356, 742, 4651]"
26,"[1944, 1462, 2791, 3247, 3833, 4648, 2786, 22, 8320, 7431, 8649, 1460, 5646, 8645, 3832, 5648, 1941, 5352, 7767]"
27,"[4649, 8937, 3834, 5649, 7303, 8938, 28, 6193, 7773, 8900, 3249, 7771, 2793, 8654, 8939, 1463, 3839, 8655, 7304, 8942]"
28,"[4649, 27, 8937, 3834, 5649, 7303, 8938, 6193, 7773, 8900, 3249, 7771, 2793, 8654, 8939]"
29,"[8325, 3836, 5650, 34, 1466, 5656, 6207, 37, 6722, 4672, 3263, 7785, 5660, 5362, 1949, 3259, 5659, 7781, 2805, 1468, 3855, 4669, 6200, 3846, 4665]"
30,"[3252, 5652, 3250, 4652, 1945, 7436, 4654, 2794, 2796, 6192, 4653, 4656, 2795, 5358, 3838, 3837, 3253, 5357, 7775, 6195, 7242, 6194, 5653]"
31,"[1946, 6196, 3851, 6718, 6719, 2800, 3255, 4658, 6198, 4660, 1238, 7778, 3257, 3256, 4659, 2801, 744, 7779, 7780, 4663, 3844, 2808, 2803, 3260]"
32,"[2797, 3840, 1464, 1947, 2799, 4477, 4657, 6197, 7353, 7777, 8656, 4476]"
33,"[1465, 3841, 5655, 4661, 5360, 7437, 2802, 2806, 4666, 6201, 3848, 745]"
34,"[8325, 3836, 5650, 29, 1466, 5656, 6207, 37, 6722, 4672, 3263, 7785, 5660, 5362, 1949, 3259, 5659, 7781, 2805, 1468, 3855, 4669, 6200, 3846, 4665]"
35,"[8326, 6721, 7783, 3842, 2798, 5654, 3254, 5359, 743, 8657, 6203, 7440, 1948, 4662, 8941]"
36,"[39, 8948, 1951, 2809, 3854, 4668, 5363, 5658, 6204, 7441, 7784, 38, 543, 1240, 1469, 1953, 2811, 3856, 4670, 5364, 6206, 747, 2399, 8330]"
37,"[8325, 3836, 29, 34, 1466, 5656, 6207, 6722, 4672, 3263, 7785, 5660, 5362, 1949, 3259, 5659, 7781, 2805, 1468, 3855, 4669, 6200, 3846, 4665]"
38,"[39, 8948, 36, 1951, 2809, 3854, 4668, 5363, 5658, 6204, 7441, 7784, 543, 1240, 1469, 1953, 2811, 3856, 4670, 5364, 6206, 747, 2399, 8330]"
39,"[8948, 36, 1951, 2809, 3854, 4668, 5363, 5658, 6204, 7441, 7784, 38, 543, 1240, 1469, 1953, 2811, 3856, 4670, 5364, 6206, 747, 2399, 8330]"
40,"[8654, 8939, 1463, 3839, 8655, 7304, 8942, 3258, 8943, 2804, 6199, 7305, 7438, 8944, 8901, 41, 8659, 3852, 7789, 444, 8328]"
41,"[8654, 8939, 1463, 3839, 8655, 7304, 8942, 3258, 8943, 2804, 6199, 7305, 7438, 8944, 8901, 40, 8659, 3852, 7789, 444, 8328]"
42,"[4679, 8332, 2815, 3863, 5664, 1956, 6213, 3865, 4678, 7795, 1954, 2812, 5662, 7792]"
43,"[3861, 6212, 7443, 7796, 1470, 4481, 4671, 1471]"
44,"[2813, 3860, 6211, 6209, 7306, 6215, 3858, 7793, 7799, 1242, 5367]"
45,"[1241, 7354, 7444, 2816, 3265, 8667, 8331, 1955, 3859, 5663, 7794, 1472, 5365, 748, 4680, 6210, 8949, 6724]"
46,"[1957, 3867, 4484, 4683, 8329]"
47,"[8333, 1958, 2817]"
48,"[3879, 4693, 5374]"
49,"[3273, 5378, 5667, 7449, 5379, 2824, 4697, 2825, 752, 7450, 6728, 5668, 7810, 4694, 6729, 6225, 3882, 753, 3270, 8335, 52, 1969, 3885, 6233, 7451]"
50,"[4698, 2827, 5380, 2823, 6218, 749, 7812, 1967, 6232, 7809, 5370, 7806, 447, 3883, 7446, 4687, 1968, 1966, 3870, 1964, 51, 6219, 5375, 2826, 4699, 1972, 53, 6731, 55, 7813, 1970, 1480, 1971, 2828, 5381]"
51,"[4698, 2827, 50, 5380, 2823, 6218, 749, 7812, 1967, 6232, 7809, 5370, 7806, 447, 3883, 7446, 4687, 1968, 1966, 3870, 1964, 6219, 5375, 2826, 4699, 1972, 53, 6731, 55, 7813, 1970, 1480, 1971, 2828, 5381]"
52,"[3273, 49, 5378, 5667, 7449, 5379, 2824, 4697, 2825, 752, 7450, 6728, 5668, 7810, 4694, 6729, 6225, 3882, 753, 3270, 8335, 1969, 3885, 6233, 7451]"
