"년도","순서","년도_지역","사육_가구_수_계","1가구_9가구","10가구_49가구","50가구_99가구","100가구_199","200가구_299","300가구_499","500가구_999","1000가구_이상","사육마리_수_계","1마리_9마리","10마리_49마리","50마리_99마리","100마리_199","200마리_299","300마리_499","500마리_999","1000마리_이상"
"2015",NULL,서울,149,1,27,22,61,18,14,5,1,23886,5,728,1342,7984,3980,4947,3000,1900
"2015",NULL,부산,122,4,31,24,28,19,12,4,0,16971,21,878,1519,3718,4230,4395,2210,0
"2015",NULL,대구,362,17,102,77,80,35,35,15,1,48800,86,2523,5215,10555,8084,12416,8721,1200
"2015",NULL,인천,71,7,21,14,15,6,5,3,0,7820,49,469,782,1830,1290,1650,1750,0
"2015",NULL,광주,262,5,55,70,52,33,42,4,1,39172,17,1484,4798,7056,7583,14334,2700,1200
"2015",NULL,대전,253,5,53,68,82,24,18,3,0,29375,23,1373,4216,10813,5520,5930,1500,0
"2015",NULL,울산,677,147,279,126,97,19,9,0,0,32359,348,5391,7658,11999,4063,2900,0,0
"2015",NULL,경기,1857,204,500,462,464,143,64,17,3,173663,840,13158,30786,59938,33100,20834,9947,5060
"2015",NULL,강원,2169,938,483,270,287,107,66,17,1,125519,3374,10131,16892,37732,24158,22964,9265,1003
"2015",NULL,충북,2142,460,514,417,398,203,110,38,2,198414,1849,11092,26182,51228,45701,38514,21348,2500
"2015",NULL,충남,1933,428,558,352,301,110,118,62,4,188703,1848,13453,23890,39505,25165,40893,38859,5090
"2015",NULL,전북,1682,282,495,256,257,144,165,76,7,209949,1181,12038,16370,33124,33274,58735,45295,9932
"2015",NULL,전남,2573,400,991,522,353,155,112,37,3,207769,1910,25352,34242,45768,35567,39809,21411,3710
"2015",NULL,경북,4180,557,1442,843,763,297,211,59,8,374899,2416,34166,54046,97485,67386,74545,34250,10605
"2015",NULL,경남,3803,448,810,446,473,227,139,55,1205,244224,1988,18480,28984,58704,51433,46852,30483,7300
"2015",NULL,제주,198,5,26,35,60,49,22,1,0,29747,18,601,2115,7368,11455,7510,680,0
"2015",NULL,세종,100,6,28,25,17,10,12,2,0,11719,32,604,1489,2224,2160,4130,1080,0
"2013",NULL,서울,158,0,26,26,53,25,21,6,1,28077,0,707,1775,7220,5870,7200,3405,1900
"2013",NULL,부산,59,0,5,14,17,10,10,3,0,10833,0,153,951,2280,2141,3530,1778,0
"2013",NULL,대구,337,45,65,72,86,24,36,9,0,43064,199,1883,5036,11780,5371,12815,5980,0
"2013",NULL,인천,77,5,27,15,17,6,4,3,0,7851,21,575,838,1950,1250,1467,1750,0
"2013",NULL,광주,283,9,74,66,60,38,31,5,0,35795,42,1720,4115,7763,8295,11110,2750,0
"2013",NULL,대전,81,0,14,18,24,9,16,0,0,11900,0,375,1134,3205,1910,5276,0,0
"2013",NULL,울산,476,75,187,115,76,20,3,0,0,27258,350,4391,7467,9476,4524,1050,0,0
"2013",NULL,경기,1607,229,442,394,342,123,62,12,3,143487,959,10964,25526,44153,27924,20979,7004,5978
"2013",NULL,강원,1872,890,362,226,225,99,60,9,1,103647,3095,7847,14656,29015,22070,21444,4520,1000
"2013",NULL,충북,2018,530,445,331,390,179,112,30,1,182627,1980,9441,20866,51128,40152,39523,17537,2000
"2013",NULL,충남,1838,505,472,310,259,124,89,64,15,185062,2132,10944,19476,33408,27461,32052,38899,20690
"2013",NULL,전북,1535,355,388,225,218,122,157,62,8,183352,1657,8880,14226,27555,27707,55620,36557,11150
"2013",NULL,전남,2379,555,818,425,299,131,115,36,0,179994,2254,19406,26729,38780,29559,40935,22331,0
"2013",NULL,경북,4717,893,1680,860,823,241,157,55,8,357409,3964,39345,54965,106935,53752,54979,34793,8676
"2013",NULL,경남,1955,449,564,318,283,160,130,51,0,181698,1831,13162,20443,35923,35580,44940,29819,0
"2013",NULL,제주,401,8,67,65,118,72,64,7,0,62294,37,1708,4131,15183,16070,20855,4310,0
"2013",NULL,세종,110,7,34,27,15,11,15,1,0,12645,41,839,1543,1962,2540,5220,500,0
"2014",NULL,서울,114,1,19,17,39,18,14,5,1,20591,5,493,1044,5250,4289,4810,2800,1900
"2014",NULL,부산,131,2,4,30,52,33,7,3,0,21096,11,110,2420,6860,7495,2470,1730,0
"2014",NULL,대구,340,36,57,72,96,36,28,13,2,48578,152,1440,4834,13183,8410,10388,7471,2700
"2014",NULL,인천,71,11,18,13,17,6,3,3,0,7232,49,376,722,1995,1290,1050,1750,0
"2014",NULL,광주,179,0,47,38,48,23,21,2,0,22821,0,1131,2473,5877,5140,7200,1000,0
"2014",NULL,대전,238,7,54,67,62,25,20,3,0,27128,35,1505,4156,7922,5630,6380,1500,0
"2014",NULL,울산,678,218,219,118,101,15,7,0,0,31983,494,5401,7517,12751,3420,2400,0,0
"2014",NULL,경기,1667,202,423,420,380,145,74,17,6,166403,810,11268,28320,49479,33265,25632,9341,8288
