지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2)
90,속초,2010-01,-.4,4,-4.7,12.6,-11.6,41.5,17.5,2.9,10.7,19.8,194.1,63.54,
90,속초,2010-02,1.5,5.4,-2.3,14.2,-8.7,113.5,28.8,2.4,9,17.5,134.1,44.45,
90,속초,2010-03,3.7,7.1,.6,13.2,-2.2,152.1,40.5,2.5,10.3,22.4,122.5,33.05,
90,속초,2010-04,9.1,13.1,5.3,20.3,.4,51.6,15.5,2.8,11.9,20.7,186.3,47.05,
90,속초,2010-05,16,20.8,11.4,30.9,5,149.5,93,2.7,11.3,21.5,206.6,46.77,
90,속초,2010-06,20.1,24.4,16.3,29.2,6.6,18,8.5,1.6,6.5,12.2,245.9,55.47,
90,속초,2010-07,25,28.7,22.3,35.1,18.1,92.8,18,2,8.1,15,132.8,29.47,
90,속초,2010-08,25.7,29.1,23.2,35.1,19.6,274.4,52.5,1.7,7.5,17.9,112.4,26.6,
90,속초,2010-09,20.4,24.5,17.1,31.1,9.5,272,54,1.8,8.9,19.7,138.3,37.04,
90,속초,2010-10,14.9,19.2,11.2,24.4,2.4,86.5,36.5,2.2,7.7,14.2,178.3,51.25,
90,속초,2010-11,9.1,13.8,4.1,21.1,-1.9,12,10,2.7,10.5,21,222.9,73.27,
90,속초,2010-12,2.8,7.5,-1.6,17.7,-10.7,19.7,17,3.3,11.7,21.1,191.5,64.63,
90,속초,2011-01,-2.7,1.8,-7.2,6.3,-13.2,12,8.8,2.7,10,17.2,234,76.65,
90,속초,2011-02,2.1,6,-2.2,15.1,-9,105.6,38.1,2.2,8.7,14,150.8,50.03,
90,속초,2011-03,5.3,9.7,.9,18.7,-5.9,20.4,7,2.7,8.7,17.7,226.8,61.25,
90,속초,2011-04,11.4,16.2,6.5,24.6,.9,115.7,30,3.2,10.8,20.6,207.6,52.49,
90,속초,2011-05,14.3,18.5,10.8,26.6,6.4,65.3,23.5,2.3,11.8,21,133,30.12,
90,속초,2011-06,20.2,24.5,16.6,35.3,11.5,341.5,93.5,2.1,10.2,15.9,199.1,44.92,
90,속초,2011-07,22.3,25.2,20.1,30.7,17.7,412.1,139,1.5,7.5,10.7,77.4,17.17,
90,속초,2011-08,24.8,28.1,22.1,35.7,18.7,140.3,54.5,1.7,7.9,13.5,136.6,32.32,
90,속초,2011-09,20.4,23.8,16.9,29,12.3,190.1,52.5,2.2,8.1,13.1,169.3,45.29,
90,속초,2011-10,14.9,19.1,10.6,26.4,4.6,22.1,10.5,2,11,16,203.2,58.41,
90,속초,2011-11,11,14.4,7.6,19.3,-.5,131.3,43,2.1,9.2,17.6,118.7,39.01,
