자료년도,국가구분,시도,시군구,시가화건조지역,농업지역,산림지역,초지,습지,나지,수역,합계
1980,남한,강원도,강릉시,11.0331,120.6045,878.436,17.1963,0.1125,9.1026,6.6267,1043.1117
1980,남한,강원도,고성군,3.8133,78.4143,576.4959,6.8094,0,9.7497,19.0809,694.3635
1980,남한,강원도,동해시,8.8119,20.6127,138.9069,8.1864,0.0126,4.8978,0.4752,181.9035
1980,남한,강원도,삼척시,8.2539,68.5053,1072.1178,29.1132,0.3357,7.5762,3.2301,1189.1322
1980,남한,강원도,속초시,2.3544,14.9634,83.5704,1.2933,0.0099,2.3346,2.3454,106.8714
1980,남한,강원도,양구군,1.1367,75.123,630.234,6.8238,1.7631,8.9703,5.1444,729.1953
1980,남한,강원도,양양군,1.9737,56.7207,556.7355,8.7714,0.4662,5.5476,4.9905,635.2056
1980,남한,강원도,영월군,5.355,141.2658,945.7209,13.8195,0.1404,8.9631,6.8805,1122.1452
1980,남한,강원도,원주시,9.0306,141.5034,692.9352,9.8964,0.018,15.5844,5.1921,874.1601
1980,남한,강원도,인제군,2.6928,93.1149,1507.0689,12.0231,0.3915,10.0107,13.0437,1638.3456
1980,남한,강원도,정선군,5.0661,101.7837,1083.5532,15.8814,0.2232,8.334,3.6882,1218.5298
1980,남한,강원도,철원군,6.0822,196.0092,488.2869,56.6946,0.0702,10.3437,6.7392,764.226
1980,남한,강원도,춘천시,11.8674,114.0021,908.3691,16.2855,0.054,8.6724,56.2095,1115.46
1980,남한,강원도,태백시,4.6152,19.7973,273.2418,4.2291,0.0369,1.2888,0.0405,303.2496
1980,남한,강원도,평창군,1.4814,145.0458,1296.6831,11.2023,0.2133,8.0991,2.8107,1465.5357
1980,남한,강원도,홍천군,2.79,180.6795,1601.5572,16.1595,0.1377,11.8044,3.9915,1817.1198
1980,남한,강원도,화천군,1.6146,72.3384,933.0921,16.5096,1.9701,7.4853,20.7099,1053.72
1980,남한,강원도,횡성군,1.395,121.851,854.5266,8.838,0.1215,6.4341,1.4706,994.6368
1980,남한,경기도,가평군,1.8558,72.0396,745.5069,6.7392,0.0135,1.7757,13.0509,840.9816
1980,남한,경기도,고양시덕양구,10.0926,54.3906,73.6209,15.6375,1.1322,3.2139,4.4217,162.5094
1980,남한,경기도,고양시일산동구,2.7495,33.1569,18.4086,2.4804,1.9962,1.0179,0.4536,60.2631
1980,남한,경기도,고양시일산서구,3.2355,29.2428,3.0357,0.2943,3.7107,0.5526,2.9403,43.0119
1980,남한,경기도,과천시,2.5218,7.5204,22.2291,2.0223,0.0306,0.8604,0.1935,35.3781
1980,남한,경기도,광명시,7.8966,12.1896,16.092,1.8171,0.1665,0.7677,0.0801,39.0096
1980,남한,경기도,광주시,2.8107,62.4132,319.059,32.814,0.0162,2.1573,9.4266,428.697
1980,남한,경기도,구리시,4.2903,10.1376,12.0402,3.8889,0.0198,0.5247,1.3635,32.265
1980,남한,경기도,군포시,3.789,8.037,18.0945,4.8654,0.0153,0.8046,0.3528,35.9586
1980,남한,경기도,김포시,19.1601,146.3094,71.208,4.6647,11.2482,1.3266,26.505,280.422
1980,남한,경기도,남양주시,7.0992,73.8801,337.5027,29.4723,0.1188,1.5714,8.3187,457.9632
1980,남한,경기도,동두천시,3.5091,17.5662,69.048,4.8096,0.0009,0.4914,0.405,95.8302
1980,남한,경기도,부천시소사구,5.9049,2.6703,3.5793,0.5688,0.0486,0.2673,0.0027,13.0419
1980,남한,경기도,부천시오정구,7.7787,8.9586,2.862,0.1044,0,0.4734,0.0054,20.1825
1980,남한,경기도,부천시원미구,9.3942,7.3197,3.2436,0.2835,0.1152,0.2151,0.0027,20.574
1980,남한,경기도,성남시분당구,1.7118,15.6969,45.9657,5.6511,0.0036,0.3942,0.3951,69.8184
1980,남한,경기도,성남시수정구,6.7536,8.7201,24.4773,4.4946,0.0045,0.8703,0.1998,45.5202
1980,남한,경기도,성남시중원구,5.4675,3.7332,15.2874,1.3347,0.0054,0.3996,0.0144,26.2422
1980,남한,경기도,수원시권선구,8.1081,25.5483,7.6563,3.2409,0.162,2.5947,0.0477,47.358
1980,남한,경기도,수원시영통구,3.1581,10.251,10.5219,1.62,0.0207,1.7604,0.5382,27.8703
1980,남한,경기도,수원시장안구,5.805,6.9516,17.181,1.8072,0.0801,1.0251,0.2817,33.1317
1980,남한,경기도,수원시팔달구,7.1703,2.0205,1.3743,0.6552,0.0513,1.5705,0.2115,13.0536
1980,남한,경기도,시흥시,4.5639,48.3606,47.0133,3.9663,14.8014,1.386,17.4735,137.565
