"prior","class","coef","group","resp","dpar","nlpar","lb","ub","tag","source"
"","b","","","","","","","","","default"
"","b","agri_z","","","","","","","","default"
"","b","forest_z","","","","","","","","default"
"","b","mean_temp_z","","","","","","","","default"
"","b","ratio_sun_z","","","","","","","","default"
"","b","speciesmellifera","","","","","","","","default"
"","b","speciesmellifera:agri_z","","","","","","","","default"
"","b","speciesmellifera:forest_z","","","","","","","","default"
"","b","speciesmellifera:mean_temp_z","","","","","","","","default"
"","b","speciesmellifera:ratio_sun_z","","","","","","","","default"
"","b","speciesmellifera:sum_rain_z","","","","","","","","default"
"","b","speciesmellifera:sum_sun_z","","","","","","","","default"
"","b","speciesmellifera:water_z","","","","","","","","default"
"","b","sum_rain_z","","","","","","","","default"
"","b","sum_sun_z","","","","","","","","default"
"","b","water_z","","","","","","","","default"
"","car","","","","","","0","1","","default"
"student_t(3, 1.4, 2.5)","Intercept","","","","","","","","","default"
"student_t(3, 0, 2.5)","sdcar","","","","","","0","","","default"
