"isolated_id","linked_id","distance_m"
7,34,6854.66542865334
39,72,7148.14064164138
41,1232,8596.39725339352
98,182,7809.73750761605
105,376,10605.9856748632
115,1207,10479.553916519
127,796,7829.16501786772
141,606,11888.3005041297
153,950,12058.2554040135
220,50,8596.20721111782
228,436,6631.4135313728
279,613,16176.3217603035
283,1182,7185.71782133588
296,1070,6522.42509583922
302,348,10408.7631382297
326,354,6768.1214584417
354,326,6768.1214584417
376,105,10605.9856748632
390,604,12478.1187129883
391,389,6382.82293410217
399,674,6503.36862152269
404,56,6577.73456913334
406,917,8630.85381518997
432,874,8710.42511726938
434,678,8564.05181446567
436,228,6631.4135313728
457,1024,11592.8332869001
508,409,31408.1740896388
530,1070,7628.998298505
550,1149,9545.47633484227
556,573,7723.10185203239
573,978,7087.50509555715
591,609,9823.12401573857
609,591,9823.12401573857
611,836,13117.3796943792
613,699,15762.3704965694
614,1137,7711.6164914854
618,1108,6884.92002841378
622,715,15384.5382149656
630,1247,12337.6231015564
631,1241,7881.57647196173
643,228,15485.1595736714
654,650,8586.70950606927
661,699,12924.5124922858
663,627,7341.3439781813
669,1173,9309.21960022762
674,399,6503.36862152269
676,1115,7412.68586767779
699,661,12924.5124922858
704,605,8986.56523493884
712,67,6245.90598456254
717,87,7993.3274682847
732,649,7870.86351696632
740,235,6345.70487422292
750,105,13571.1547243538
751,192,18166.5763640795
770,106,7708.52120529626
777,1095,11442.7973004885
780,962,11428.1594551043
782,1163,15621.9054780364
783,1136,10533.9900543843
790,1054,6962.72287208718
795,666,9730.16605881978
796,127,7829.16501786772
814,661,13281.7642012091
815,1027,16072.2097315928
818,777,13588.6285156108
819,970,16874.48815804
827,331,7863.68609609362
834,1093,14580.2842835763
840,1236,9217.84655529389
854,647,18259.6990320218
882,946,13412.6877851018
889,40,8545.92215667125
892,704,10067.2614269763
907,3,7625.25901086964
921,987,6929.92741117171
946,1078,10289.3393923244
962,780,11428.1594551043
987,921,6929.92741117171
988,100,17610.4708978
992,299,9429.7196928047
994,155,14300.6873229001
997,1097,18481.4513187751
999,1168,6784.35519828461
1010,1162,11929.2026464353
1018,663,8619.9429309371
1025,1106,6323.11022238924
1032,208,30606.4395838483
1053,1136,10639.1704450242
1070,296,6522.42509583922
1075,932,28065.9162667492
1076,1082,6295.11742364835
1084,316,15883.5971402014
1087,834,17720.4897766759
1088,604,12872.1563983262
1093,224,7550.28779571837
1097,201,8897.74738568979
1099,1250,12043.5705532139
1101,1238,9106.6079489764
1102,303,7075.36024014572
1108,618,6884.92002841378
1115,676,7412.68586767779
1129,600,12544.9339846277
1131,1242,14082.1812106908
1136,783,10533.9900543843
1137,614,7711.6164914854
1142,1137,8339.52435460644
1147,707,12096.6592672092
1148,574,8025.88329365142
1154,1134,9445.80781753876
1156,1250,11473.9496891922
1162,69,10144.2173994152
1163,1149,15343.2977388554
1166,3,16229.8962402535
1171,1138,18250.2532507933
1173,1142,8805.80858186602
1176,1018,11960.164396415
1177,127,8058.47211611174
1178,1110,10315.4297211917
1186,1128,11438.3031509255
1189,177,22595.9246265014
1199,1112,21209.5886362737
1200,1197,6214.34047534592
1203,672,8077.91171735093
1204,854,25974.9292153164
1205,1017,6929.17790057199
1206,1162,15914.9991276756
1207,478,8654.936267716
1210,1214,8267.33265362874
1214,1210,8267.33265362874
1215,833,12321.8727588738
1216,167,12146.9115390639
1225,1026,6648.82703430926
1229,73,7867.76256734601
1230,786,7832.60339794541
1232,41,8596.39725339352
1234,432,14611.4600403618
1235,1144,7146.90690320962
1236,101,6083.66970745551
1237,730,6904.81141305062
1241,631,7881.57647196173
1242,1131,14082.1812106908
1243,359,7113.37364617254
1247,630,12337.6231015564
1250,345,9923.53645104193
