"model","parameter","estimate","median","lower_95","upper_95","prob_positive","prob_negative","direction_probability","credible_95"
"climate_both","car",0.808369359408935,0.810118193980823,0.739384407314604,0.868469072131214,1,0,1,TRUE
"climate_both","sdcar",1.80135264001723,1.80281391228328,1.56380118885494,2.02342215760466,1,0,1,TRUE
"climate_both","shape",2.30791563978208,2.2805227790095,1.77583453192185,2.9786597977657,1,0,1,TRUE
"climate_sum_only","car",0.806100721477501,0.808229876394785,0.736125611863653,0.864480020491936,1,0,1,TRUE
"climate_sum_only","sdcar",1.81322657536252,1.81641156311191,1.591307002282,2.02947787383291,1,0,1,TRUE
"climate_sum_only","shape",2.33620749525776,2.31156899919832,1.82109962204999,3.00776548705578,1,0,1,TRUE
"climate_ratio_only","car",0.805527784843169,0.807616606467719,0.735026634171975,0.865005340623645,1,0,1,TRUE
"climate_ratio_only","sdcar",1.81427207902284,1.81720461511445,1.58543664759453,2.03755488002244,1,0,1,TRUE
"climate_ratio_only","shape",2.3411452816906,2.30944610395032,1.81549024016642,3.06274889453803,1,0,1,TRUE
"landcover","car",0.795738080169065,0.798471631672407,0.721720733824826,0.857104806959441,1,0,1,TRUE
"landcover","sdcar",1.82270835987611,1.82084957875004,1.6049209759684,2.04518402815035,1,0,1,TRUE
"landcover","shape",2.34225540788345,2.30281252808924,1.81368218108756,3.10768699437669,1,0,1,TRUE
