"model","predictor","estimate","median","lower_95","upper_95","IRR","IRR_lower_95","IRR_upper_95","prob_positive","prob_negative","direction_probability","credible_95","species_effect"
"climate_both","mean_temp_z",0.0632447017092544,0.0639248080473424,-0.0571639532801326,0.178871368363115,1.0652874850082,0.944439212765428,1.19586690795613,0.84425,0.15575,0.84425,FALSE,"cerana"
"climate_both","mean_temp_z",-0.210738270030347,-0.213013799171291,-0.542645224647611,0.112742188628783,0.809986036761452,0.581208789343896,1.11934331631062,0.1025,0.8975,0.8975,FALSE,"mellifera"
"climate_both","mean_temp_z",-0.273982971739601,-0.267761589122278,-0.612966421097379,0.0436783769233937,0.760345022503683,0.541741449880918,1.04464631848989,0.046,0.954,0.954,FALSE,"mellifera_minus_cerana"
"climate_both","sum_sun_z",-0.0604154380068522,-0.0597992461302359,-0.856820974780523,0.746537950873167,0.941373370061215,0.424509465797651,2.109683530878,0.446,0.554,0.554,FALSE,"cerana"
"climate_both","sum_sun_z",1.46032890647037,1.4792469101515,-1.17147799847469,4.09349059957761,4.30737601922898,0.30990855822786,59.9487841126702,0.86075,0.13925,0.86075,FALSE,"mellifera"
"climate_both","sum_sun_z",1.52074434447722,1.51974739249306,-1.09894248961579,4.08105674324773,4.57562977264683,0.333223284520883,59.208004461475,0.8695,0.1305,0.8695,FALSE,"mellifera_minus_cerana"
"climate_both","ratio_sun_z",-0.0312925310591566,-0.0342870988691487,-0.802745429663375,0.746773789940438,0.969192012836918,0.448097054884377,2.11018113534914,0.46525,0.53475,0.53475,FALSE,"cerana"
"climate_both","ratio_sun_z",-1.54632179426841,-1.56177762972259,-4.03387553101016,0.963113042259397,0.213030103074934,0.0177055782973798,2.61983946307289,0.117,0.883,0.883,FALSE,"mellifera"
"climate_both","ratio_sun_z",-1.51502926320926,-1.52094108705716,-3.9869712418565,0.997271144479319,0.219801752648966,0.0185558302177585,2.71087414193469,0.122,0.878,0.878,FALSE,"mellifera_minus_cerana"
"climate_both","sum_rain_z",0.0162070417771919,0.0174093647686607,-0.0969419086468794,0.12450895152884,1.01633908827532,0.907608728821053,1.13259215884624,0.61275,0.38725,0.61275,FALSE,"cerana"
"climate_both","sum_rain_z",-0.342139253513118,-0.342316526480732,-0.589839872678506,-0.095658450697426,0.710249293113188,0.554416054784908,0.908774354314697,0.0045,0.9955,0.9955,TRUE,"mellifera"
"climate_both","sum_rain_z",-0.35834629529031,-0.360314697207997,-0.601572815443563,-0.109353976983602,0.698831031204802,0.547949135132388,0.896413051743346,0.0025,0.9975,0.9975,TRUE,"mellifera_minus_cerana"
